stationid,absolute_increase_per_year,relative_increase_per_year_in_% (absolute_increase / middle_value_from_all_years)
03604099999,-1.91,-3.56
03605099999,0.12,0.27
03609099999,0.66,1.72
03647099999,-1.57,-4.35
03649099999,-1.75,-4.43
03658099999,1.98,5.15
03660099999,-1.26,-3.21
03672099999,-0.09,-0.18
03684099999,2.93,8.55
03693099999,0.12,0.41
03707099999,-0.16,-0.41
03710099999,-0.66,-1.44
03740099999,-0.86,-2.36
03743099999,1.32,3.74
03746099999,0.17,0.41
03749099999,0.33,0.98
03761099999,2.7,7.21
03768099999,0.55,1.54
03772099999,0.3,0.78
03781099999,0.27,0.76
03797035047,-0.64,-1.84
03803099999,-1.62,-4.31
03808099999,0.32,0.88
03809099999,0.29,0.53
03823099999,-0.69,-1.55
03827099999,0.11,0.24
03840099999,-0.26,-0.61
03853099999,0.72,1.52
03857099999,-3.11,-4.68
03862099999,-0.41,-1.08
03866099999,-0.85,-2.47
03872099999,-0.38,-1.16
03876099999,-0.64,-2.14
03882099999,0.74,1.87
03894099999,-9.76,-14.32
03904099999,1.12,3.27
03911099999,-0.6,-1.19
03915099999,-1.78,-5.02
03916099999,-0.76,-1.54
03917099999,0.07,0.16
03923099999,1.66,3.96
03953099999,-0.57,-0.87
03955099999,-4.53,-7.6
03962099999,1.2,2.34
03967099999,0.65,1.38
03969099999,-1.09,-2.84
03970099999,0.12,0.29
03971099999,-0.47,-1.3
03973099999,-0.49,-1.35
03976099999,-0.15,-0.38
03980099999,0.01,0.02
04202099999,-4.31,-15.58
04220099999,0.11,0.36
04231099999,-2.33,-11.19
04272099999,-0.07,-0.1
04360099999,3.37,5.42
04390099999,-0.56,-0.86
06011099999,-0.09,-0.16
06030099999,-0.82,-1.83
06041099999,-0.64,-1.39
06052099999,-0.39,-0.92
06058099999,-0.36,-1.13
06060099999,-1.28,-3.25
06070099999,-1.51,-3.21
06079099999,0.15,0.33
06081099999,-0.97,-4.24
06104099999,-0.9,-2.75
06110099999,-0.2,-0.56
06119099999,-0.77,-2.73
06120099999,-0.53,-1.72
06156099999,-1.11,-3.8
06159099999,-0.71,-2.34
06169099999,0.69,2.61
06170099999,-1.64,-5.0
06180099999,-1.57,-4.17
06193099999,-0.22,-0.61
06235099999,-0.6,-0.93
06240099999,-0.76,-1.7
06251099999,0.27,0.9
06260099999,-0.53,-1.06
06269099999,-0.39,-1.04
06270099999,0.12,0.19
06273099999,-0.31,-0.86
06275099999,-0.04,-0.09
06277099999,-0.63,-1.82
06279099999,-0.14,-0.36
06280099999,-0.39,-0.74
06283099999,-0.1,-0.29
06286099999,-1.44,-3.82
06290099999,-1.21,-2.18
06310099999,-0.36,-0.86
06319099999,0.09,0.25
06330099999,0.55,1.37
06344099999,-0.08,-0.1
06348099999,-0.88,-2.0
06350099999,-0.65,-1.46
06356099999,-0.49,-1.39
06370099999,0.15,0.41
06375099999,0.88,2.07
06380099999,0.92,1.63
06391099999,-0.14,-0.35
06400099999,0.43,0.95
06407099999,-0.52,-1.04
06428099999,-1.03,-2.11
06431099999,-1.05,-2.61
06432099999,-0.31,-0.52
06447099999,-0.27,-0.57
06449099999,0.74,1.1
06450099999,-0.01,-0.02
06451099999,0.74,1.47
06456099999,-2.45,-4.04
06458099999,-6.58,-11.28
06476099999,-2.91,-6.0
06478099999,-0.42,-0.79
06479099999,-1.52,-3.03
06490099999,-1.73,-3.88
06496099999,-1.45,-2.03
06590099999,0.92,1.97
06604099999,-1.15,-2.33
06605099999,-2.35,-4.83
06610099999,0.4,0.86
06612099999,1.95,3.45
06616099999,-0.8,-1.73
06628099999,-0.7,-1.29
06639099999,-1.1,-1.71
06643099999,-0.09,-0.17
06660099999,-1.3,-2.43
06670099999,-1.29,-2.16
06672099999,0.54,0.82
06680099999,0.5,0.51
06681099999,1.02,1.51
06689099999,0.49,1.28
06700099999,-0.93,-1.63
06702099999,1.09,1.51
06712099999,1.05,2.27
06720099999,4.1,9.18
06724099999,1.7,3.21
06734099999,-0.48,-0.93
06750099999,0.5,0.66
06753099999,-2.07,-2.26
06756099999,-0.93,-1.09
06759099999,1.12,1.14
06760099999,2.6,2.07
06762099999,0.11,0.09
06770099999,1.52,1.55
06771099999,0.23,0.24
06780099999,0.72,1.43
06782099999,6.64,8.11
06783099999,1.29,1.32
06786099999,4.46,7.33
06791099999,2.43,4.65
06792099999,2.05,4.14
06794099999,3.61,5.51
06990099999,1.67,2.79
07002099999,0.69,1.71
07003099999,0.16,0.58
07005099999,-0.01,-0.02
07010099999,-0.17,-0.35
07015099999,0.05,0.11
07020099999,0.01,0.03
07024099999,-0.15,-0.45
07027099999,0.24,0.53
07028099999,-1.09,-1.97
07031099999,0.54,1.49
07037099999,-1.53,-3.47
07038034061,-0.17,-0.42
07040099999,-1.23,-2.65
07055099999,0.64,1.87
07057099999,0.05,0.13
07061099999,-0.08,-0.23
07075099999,-0.57,-1.48
07100099999,0.54,0.95
07106099999,-0.14,-0.4
07107099999,0.17,0.43
07109099999,-1.15,-2.82
07110099999,-1.76,-3.53
07120099999,0.4,1.22
07125099999,-1.5,-4.94
07130099999,1.07,2.62
07139099999,0.02,0.05
07140099999,0.04,0.1
07143099999,0.75,2.32
07146099999,-1.05,-4.02
07147099999,1.98,4.35
07149099999,1.5,3.77
07150099999,1.41,4.28
07153099999,0.7,2.28
07156099999,1.6,4.92
07157099999,0.43,1.04
07168099999,0.69,2.03
07169099999,0.34,0.69
07180099999,-0.78,-1.8
07181099999,-0.01,-0.02
07190099999,0.91,2.21
07197099999,-0.66,-1.71
07201099999,0.14,0.31
07203099999,0.56,1.85
07205099999,-0.13,-0.29
07207099999,0.19,0.45
07217099999,0.37,1.07
07222099999,1.83,4.3
07230099999,1.15,2.65
07235099999,-0.56,-1.44
07240099999,-0.62,-1.3
07247099999,0.44,1.24
07249099999,0.71,1.66
07255099999,-1.15,-2.69
07257099999,-0.11,-0.3
07260099999,-0.41,-1.02
07280099999,0.87,1.93
07283099999,1.25,3.28
07288099999,-0.21,-0.42
07292099999,-0.6,-1.08
07299099999,-1.54,-2.32
07300099999,0.0,0.0
07306099999,-0.98,-2.34
07314099999,0.3,0.73
07315099999,-0.09,-0.19
07330099999,0.02,0.05
07335099999,-0.05,-0.13
07354034048,-0.26,-0.62
07374099999,0.04,0.1
07379099999,-0.46,-0.98
07385099999,0.22,0.45
07412099999,-0.91,-2.26
07434099999,-0.42,-0.82
07438099999,0.0,0.01
07460099999,0.05,0.09
07471099999,0.33,0.59
07475099999,0.65,1.39
07480099999,-0.4,-0.69
07481099999,1.24,2.02
07482099999,1.19,1.99
07486099999,0.55,0.79
07491099999,-0.37,-0.65
07497099999,0.41,0.82
07500099999,-0.29,-0.91
07502099999,0.59,1.18
07503099999,-0.14,-0.31
07510099999,0.61,1.03
07524099999,2.81,6.64
07530099999,1.16,2.68
07535099999,-0.88,-1.85
07549099999,0.17,0.28
07552099999,0.28,0.8
07558099999,-0.43,-0.85
07560099999,0.81,0.61
07577099999,-2.31,-2.63
07579099999,-0.81,-1.14
07586099999,-0.81,-1.55
07588099999,0.1,0.16
07591099999,0.63,1.36
07600099999,0.09,0.13
07602099999,-2.27,-3.49
07603099999,0.99,1.89
07607099999,1.2,2.43
07610099999,1.29,2.63
07621099999,0.63,1.07
07622099999,0.71,1.73
07627099999,0.26,0.54
07630099999,0.08,0.17
07632099999,0.23,0.55
07635099999,1.06,1.98
07641099999,-0.12,-0.2
07643099999,-0.51,-0.66
07645099999,0.69,0.91
07646099999,0.01,0.01
07647099999,-0.46,-0.66
07648099999,-0.68,-1.07
07650099999,0.1,0.16
07660099999,0.35,0.52
07661099999,-0.89,-1.16
07667099999,-1.69,-1.98
07675099999,-2.4,-3.05
07678099999,0.93,1.41
07684099999,1.74,2.53
07690099999,-1.0,-1.2
07747099999,-1.06,-1.29
07749099999,4.24,5.27
07753099999,-0.2,-0.49
07754099999,-1.19,-1.83
07761099999,-2.16,-2.66
07765099999,-1.41,-1.51
07770099999,0.64,0.72
07780099999,0.04,0.1
07785099999,-1.38,-2.56
07790099999,-3.3,-3.42
08001099999,2.99,4.82
08011099999,1.2,1.58
08015099999,1.01,1.72
08021099999,0.61,0.9
08023099999,0.4,0.61
08025099999,-2.03,-2.69
08027099999,-1.67,-2.12
08029099999,1.9,2.08
08042099999,-1.58,-1.82
08044099999,0.85,1.24
08045099999,2.05,2.02
08055099999,0.1,0.24
08075099999,0.22,0.55
08080099999,-0.65,-1.32
08084099999,0.63,1.4
08085099999,-0.96,-1.77
08140099999,-0.52,-1.5
08141099999,0.04,0.11
08160099999,-0.64,-1.35
08171099999,1.67,3.63
08175099999,-3.13,-3.93
08181099999,3.34,3.57
08184099999,2.02,2.61
08202099999,0.38,1.18
08213099999,0.09,0.27
08215099999,3.27,4.4
08221099999,-0.08,-0.15
08223099999,0.38,1.06
08224099999,-0.03,-0.08
08231099999,1.3,3.9
08238099999,1.56,2.21
08261099999,0.56,1.07
08272099999,-1.98,-5.13
08280099999,0.53,0.99
08284099999,1.26,1.56
08306099999,1.68,2.51
08314099999,-0.2,-0.32
08330099999,0.81,1.26
08348099999,-0.86,-2.4
08360099999,3.57,6.55
08373099999,3.49,4.36
08391099999,-0.48,-0.64
08397099999,-3.43,-6.3
08410099999,-1.82,-3.18
08419099999,0.55,1.66
08429099999,3.11,5.25
08430099999,3.3,5.59
08433099999,5.66,9.63
08451099999,0.69,1.16
08482099999,-2.82,-3.78
08487099999,1.18,2.57
08495099999,-0.9,-1.0
08501099999,0.13,0.16
08505099999,1.35,1.98
08509099999,-1.19,-1.31
08512099999,4.36,6.42
08515099999,2.12,2.92
08521099999,-1.01,-1.18
08522099999,-3.39,-6.13
08524099999,-1.34,-2.54
08534099999,-0.34,-0.63
08540099999,0.05,0.1
08541099999,-0.34,-0.87
08545099999,0.65,0.96
08548099999,0.74,1.59
08554099999,-2.58,-4.14
08558099999,1.34,3.24
08560099999,1.05,1.51
08562099999,-1.09,-2.54
08567099999,-0.17,-0.29
08568099999,1.8,2.48
08570099999,-1.96,-3.59
08571099999,2.16,3.92
08575099999,0.84,1.75
08579099999,-2.03,-3.66
08594099999,7.26,8.57
10607099999,3.29,8.47
10614099999,-2.98,-7.18
11001099999,0.23,0.54
11008099999,-1.34,-3.01
11010099999,1.48,2.97
11012099999,-0.19,-0.33
11018099999,0.9,1.86
11019099999,-2.8,-6.32
11020099999,-1.02,-2.41
11021099999,0.02,0.06
11022099999,-0.26,-0.69
11024099999,-2.22,-4.69
11030099999,-0.55,-1.18
11032099999,0.26,0.71
11034099999,-1.66,-3.63
11035099999,0.26,0.56
11036099999,-0.88,-1.83
11051099999,-0.17,-0.35
11055099999,-0.84,-1.83
11060099999,-1.49,-3.5
11075099999,-1.33,-3.54
11078099999,-1.79,-2.74
11082099999,-2.58,-5.39
11101099999,1.33,1.64
11105099999,-0.01,-0.01
11112099999,1.28,2.92
11120099999,1.34,2.21
11126099999,0.49,0.87
11130099999,1.58,2.42
11136099999,2.55,4.27
11138099999,-1.14,-1.52
11141099999,-0.39,-0.88
11144099999,1.87,3.88
11146099999,-1.71,-3.55
11149099999,-0.07,-0.15
11150099999,0.74,1.17
11152099999,0.82,1.34
11155099999,-8.12,-10.31
11157099999,-0.39,-0.75
11165099999,-0.1,-0.2
11170099999,-2.96,-3.89
11180099999,-2.43,-4.42
11182099999,-0.31,-0.59
11185099999,-1.34,-2.23
11190099999,-1.31,-2.67
11192099999,-0.6,-1.31
11204099999,2.87,4.68
11213099999,-1.26,-2.06
11231099999,1.01,1.62
11240099999,0.96,1.46
11241099999,0.02,0.04
11252099999,-0.37,-0.8
11255099999,-1.39,-1.54
11270099999,0.17,0.19
11275099999,-0.46,-0.86
11280099999,0.14,0.3
11292099999,-0.59,-1.13
11302099999,1.89,2.79
11308099999,1.31,1.88
11310099999,0.38,0.86
11340099999,-1.26,-2.48
11346099999,2.0,4.16
11348099999,0.05,0.11
11350099999,1.08,1.65
11351099999,-0.75,-1.27
11355099999,-1.49,-2.11
11356099999,-0.88,-1.28
11357099999,-1.58,-2.42
11358099999,-0.77,-1.44
11380099999,1.42,2.42
11382099999,-0.59,-0.94
11384099999,0.6,1.2
11385099999,-2.03,-3.91
11406099999,4.28,8.88
11414099999,4.62,11.19
11423099999,4.24,10.14
11438099999,0.02,0.06
11457099999,7.68,12.04
11464099999,6.57,13.87
11487099999,5.27,10.96
11502099999,-0.99,-3.0
11509099999,-1.2,-3.38
11518099999,4.31,9.73
11520099999,3.18,6.91
11538099999,-0.7,-1.52
11567099999,3.24,8.71
11603099999,6.07,10.88
11624099999,2.65,6.29
11628099999,5.27,10.78
11636099999,-0.34,-0.82
11643099999,-0.76,-1.23
11652099999,-1.44,-3.68
11659099999,-0.75,-1.66
11679099999,-0.71,-1.73
11683099999,8.49,12.71
11692099999,5.18,10.37
11693099999,1.08,2.98
11698099999,-0.35,-0.98
11710099999,6.25,12.45
11723099999,2.99,5.89
11766099999,-1.47,-3.81
11774099999,2.19,4.96
11782099999,-0.26,-0.58
11787099999,2.15,2.86
11816099999,0.16,0.33
11826099999,2.98,5.51
11841099999,0.81,1.96
11855099999,0.69,1.69
11858099999,2.76,6.29
11867099999,1.15,2.55
11880099999,1.31,2.58
11916099999,1.23,2.35
11918099999,-3.61,-7.0
11927099999,1.22,2.48
11930099999,0.33,0.57
11933099999,6.41,12.13
11934099999,4.66,9.29
11938099999,-0.61,-1.27
11968099999,2.46,4.14
11976099999,1.0,2.11
11978099999,0.24,0.62
11993099999,3.43,5.67
12100099999,0.81,1.82
12105099999,-0.57,-1.12
12115099999,-1.92,-4.11
12120099999,0.97,2.31
12125099999,1.3,2.94
12135099999,2.6,5.91
12160099999,0.46,1.08
12185099999,4.67,11.21
12195099999,-0.87,-1.91
12200099999,-0.36,-1.0
12205099999,1.24,2.89
12210099999,-0.46,-1.28
12215099999,-0.03,-0.1
12235099999,0.15,0.47
12250099999,0.79,1.8
12270099999,-0.86,-2.12
12272099999,3.33,7.59
12280099999,1.75,4.74
12285099999,1.76,4.3
12295099999,1.86,3.91
12300099999,1.06,2.93
12310099999,-1.21,-3.28
12330099999,0.92,2.11
12345099999,-2.37,-6.29
12360099999,-0.56,-1.69
12375099999,1.59,2.78
12385099999,-0.55,-1.52
12399099999,-0.12,-0.34
12400099999,-0.3,-0.7
12415099999,0.87,2.31
12424099999,1.28,2.44
12435099999,0.44,1.36
12455099999,2.03,5.32
12469099999,0.15,0.32
12488099999,2.02,4.86
12495099999,1.06,2.42
12497099999,-0.54,-1.27
12500099999,-1.39,-3.06
12510099999,0.89,1.66
12520099999,-1.15,-2.35
12530099999,3.16,7.7
12540099999,-0.86,-2.04
12550099999,1.92,4.41
12560099999,0.85,1.76
12566099999,-0.56,-1.22
12570099999,2.33,6.05
12575099999,-0.64,-1.26
12580099999,-0.42,-1.07
12585099999,0.81,1.79
12595099999,0.03,0.09
12600099999,-0.69,-1.24
12625099999,-1.1,-1.77
12650099999,-1.27,-1.52
12660099999,1.05,2.04
12670099999,-0.4,-0.81
12690099999,0.91,1.99
12695099999,0.45,1.01
12772099999,1.78,3.42
12805099999,-0.45,-0.91
12812099999,0.39,0.66
12815099999,0.46,1.33
12822099999,0.3,0.65
12830099999,0.07,0.11
12843099999,-0.37,-0.66
12851099999,-0.55,-0.95
12860099999,0.56,1.24
12870099999,2.22,5.17
12882099999,-0.24,-0.59
12892099999,-1.14,-2.3
12910099999,0.15,0.3
12915099999,0.55,1.26
12925099999,0.97,1.89
12935099999,0.99,1.87
12942099999,-0.35,-0.64
12950099999,-0.76,-1.7
12960099999,-1.11,-2.15
12970099999,0.87,1.82
12982099999,-1.1,-2.36
12992099999,0.27,0.67
13067099999,0.81,1.62
13116099999,3.01,4.22
13160099999,-0.65,-1.39
13168099999,1.26,2.36
13173099999,1.64,3.56
13174099999,0.08,0.19
13180099999,0.52,0.91
13183099999,-0.11,-0.18
13262099999,1.19,2.21
13266099999,0.79,1.98
13269099999,2.39,4.49
13272099999,1.37,1.94
13274099999,1.46,2.94
13279099999,2.1,4.74
13285099999,0.6,1.14
13289099999,5.04,8.02
13295099999,0.51,0.89
13363099999,-2.56,-5.13
13367099999,-0.05,-0.1
13369099999,1.53,3.63
13370099999,3.08,7.25
13376099999,0.09,0.15
13378099999,0.11,0.22
13383099999,4.43,9.95
13384099999,-1.22,-2.78
13388099999,1.3,3.11
13389099999,0.3,0.75
13397099999,3.11,6.55
13457099999,-1.72,-1.52
13459099999,-2.19,-2.01
13462099999,0.81,0.77
13489099999,0.35,0.71
13493099999,0.12,0.23
13578099999,-0.04,-0.08
13583099999,3.45,6.28
13586099999,6.06,9.15
13591099999,0.0,0.01
13592099999,1.91,3.46
14008099999,1.68,1.42
14014099999,1.06,1.27
14015099999,0.63,0.72
14026099999,-1.49,-2.34
14105099999,-0.25,-0.33
14106099999,-1.25,-1.38
14235099999,1.03,1.58
14236099999,1.44,2.91
14240099999,1.73,3.66
14241099999,1.44,2.59
14246099999,2.1,3.64
14256099999,3.81,7.11
14258099999,-0.34,-0.59
14307099999,-2.0,-2.86
14314099999,0.4,0.54
14323099999,4.2,4.13
14324099999,1.6,1.8
14328099999,0.88,1.19
14330099999,3.67,4.46
14370099999,1.89,4.25
14382099999,0.6,1.36
14431099999,5.05,6.04
14438099999,-0.51,-0.82
14443099999,-1.14,-3.64
14444099999,-3.5,-4.14
14445099999,1.56,2.46
14447099999,-0.19,-0.25
14472099999,1.18,1.29
14474099999,-2.38,-2.31
15015099999,0.5,0.99
15020099999,2.22,3.82
15090099999,0.27,0.39
15108099999,-0.79,-1.39
15120099999,-0.85,-1.39
15150099999,4.94,5.64
15170099999,3.22,5.39
15200099999,0.79,1.54
15230099999,0.12,0.28
15260099999,0.9,1.5
15280099999,2.16,3.71
15292099999,-0.48,-0.86
15310099999,0.76,1.37
15335099999,0.66,1.26
15346099999,-0.54,-1.05
15350099999,-0.29,-0.55
15360099999,0.48,1.0
15410099999,-0.41,-0.71
15420099999,3.17,4.24
15450099999,-1.18,-1.78
15460099999,1.72,3.21
15470099999,0.16,0.35
15480099999,-1.41,-2.39
15502099999,-1.21,-1.65
15525099999,-8.42,-8.64
15549099999,-2.47,-3.88
15552099999,-12.19,-11.03
15600099999,-1.98,-3.1
15614099999,-1.02,-1.56
15615099999,-11.53,-16.9
15640099999,-1.51,-1.88
15655099999,-13.71,-14.67
15712099999,-6.23,-7.97
15730099999,-19.64,-16.45
16008099999,-0.55,-1.16
16020099999,-2.58,-3.81
16021099999,1.18,1.45
16022099999,-2.49,-3.11
16033099999,-8.68,-11.56
16036099999,-1.91,-2.69
16040099999,-1.4,-1.43
16059099999,-5.6,-7.0
16061099999,-0.01,-0.02
16066099999,-10.6,-7.7
16076099999,-1.27,-1.5
16080099999,-2.76,-3.08
16084099999,-0.7,-1.03
16088099999,-0.6,-0.72
16090099999,-1.36,-1.73
16098099999,-0.11,-0.16
16099099999,-1.08,-2.04
16105099999,-0.67,-0.83
16108099999,-0.9,-1.02
16110099999,-1.93,-2.97
16115099999,-9.65,-32.36
16119099999,1.6,3.1
16120099999,5.31,4.36
16138099999,-0.27,-0.74
16140099999,-0.95,-1.39
16146099999,0.23,0.35
16147099999,-1.43,-3.79
16148099999,0.0,0.01
16149099999,-1.07,-1.29
16153099999,0.9,1.23
16158099999,1.22,1.22
16168099999,-4.43,-9.02
16170099999,-0.47,-0.67
16179099999,-0.38,-0.54
16191099999,-2.45,-3.05
16206099999,-0.78,-0.88
16216099999,-3.28,-7.05
16230099999,-1.55,-1.74
16234099999,-5.0,-14.01
16235099999,-4.69,-23.76
16239099999,-0.87,-1.67
16242099999,1.03,1.0
16243099999,-0.09,-0.23
16244099999,0.44,0.85
16245099999,-2.5,-7.9
16252099999,-2.63,-3.95
16253099999,2.93,5.21
16261099999,-1.56,-2.4
16263099999,-1.85,-4.86
16270099999,-0.15,-0.24
16280099999,-1.82,-2.91
16310099999,-5.2,-9.41
16312099999,-4.51,-11.07
16320099999,-3.58,-3.8
16324099999,-4.63,-84.85
16325099999,-1.71,-2.37
16332099999,-2.62,-5.69
16344099999,-0.4,-1.01
16350099999,-7.19,-13.79
16360099999,0.19,0.3
16362099999,3.01,3.48
16400099999,-2.04,-2.67
16405099999,-18.62,-16.43
16420099999,-0.6,-0.64
16422099999,-3.69,-8.1
16429099999,-1.84,-2.05
16453099999,-0.74,-1.2
16459099999,-3.89,-9.78
16460099999,2.91,3.34
16470099999,-6.43,-5.89
16480099999,-2.36,-2.61
16490099999,-3.03,-7.93
16520099999,-1.21,-1.69
16522099999,-1.96,-3.65
16531099999,-0.34,-0.8
16539099999,0.31,0.55
16546099999,-1.41,-3.16
16550099999,-0.49,-0.77
16560099999,-0.13,-0.2
16564099999,-2.08,-5.49
16597099999,-1.24,-1.62
16614099999,2.41,4.29
16622099999,1.06,1.93
16624099999,6.01,31.69
16627099999,4.89,7.04
16632099999,4.47,27.81
16641099999,2.02,2.12
16643099999,2.65,2.61
16648099999,-0.86,-1.36
16650099999,-0.74,-1.09
16665399999,9.47,49.74
16667099999,0.34,0.51
16675099999,6.48,9.35
16682099999,0.97,0.96
16684099999,1.82,2.19
16685099999,6.66,19.87
16706099999,5.91,30.74
16710099999,-1.12,-1.89
16716099999,0.66,1.14
16718099999,5.66,37.02
16723099999,-1.2,-1.44
16726099999,4.61,15.8
16726399999,4.49,35.43
16732099999,1.22,1.99
16734099999,-6.98,-12.14
16738099999,-3.65,-6.39
16742099999,4.35,23.7
16743099999,-2.98,-6.3
16746099999,6.89,6.81
16749099999,2.98,2.57
16754099999,0.17,0.31
17022099999,-0.29,-0.34
17024099999,-0.38,-0.4
17026099999,-0.36,-0.6
17030099999,3.52,5.1
17038099999,-0.64,-0.83
17050099999,0.7,1.05
17056099999,-2.09,-3.09
17060099999,-1.09,-1.59
17067099999,-2.33,-3.21
17070099999,0.35,0.87
17082099999,1.77,5.21
17084099999,-0.34,-0.78
17090099999,0.37,0.93
17092099999,1.11,2.24
17096099999,4.88,10.09
17112099999,-0.71,-0.93
17115099999,-2.71,-3.89
17116099999,-0.12,-0.19
17124099999,1.47,3.62
17128099999,0.4,1.0
17129099999,2.54,6.35
17150099999,0.4,0.77
17170099999,0.04,0.07
17184099999,0.69,1.14
17188099999,-5.64,-12.06
17190099999,-1.16,-2.97
17195099999,-0.07,-0.13
17200099999,1.92,5.86
17202099999,-0.66,-1.52
17218099999,3.91,18.9
17219099999,2.42,3.01
17234099999,0.17,0.26
17240099999,1.23,2.29
17244099999,3.45,6.61
17260099999,0.61,1.37
17280099999,-2.11,-3.53
17290099999,1.08,1.58
17292099999,-0.34,-0.34
17295099999,-2.18,-2.76
17300099999,-1.41,-0.93
17330099999,-1.2,-1.66
17350033308,2.23,2.43
17352099999,6.77,38.73
17370099999,-0.44,-0.55
17600099999,-0.84,-1.89
17601099999,-1.27,-3.1
17609099999,-1.62,-2.73
20069099999,2.9,13.22
20087099999,1.54,6.12
20107099999,-0.6,-1.41
20292099999,0.62,2.15
