stationid,absolute_increase_per_year,relative_increase_per_year_in_% (absolute_increase / middle_value_from_all_years)
03503099999,0.077,1.14
03507099999,0.062,0.91
03520099999,0.007,0.12
03529099999,-0.018,-0.36
03544099999,0.008,0.16
03560099999,0.02,0.39
03590099999,0.073,1.35
03604099999,-0.034,-0.5
03605099999,0.01,0.13
03609099999,0.018,0.27
03647099999,-0.027,-0.45
03649099999,-0.049,-0.87
03658099999,0.053,1.0
03660099999,-0.102,-1.62
03672099999,0.024,0.43
03684099999,0.027,0.5
03693099999,-0.04,-0.79
03707099999,-0.023,-0.39
03710099999,0.015,0.19
03740099999,-0.088,-1.52
03743099999,0.027,0.44
03746099999,-0.002,-0.03
03749099999,0.039,0.62
03761099999,0.043,0.7
03768099999,0.024,0.42
03772099999,-0.019,-0.34
03781099999,-0.028,-0.45
03797035047,-0.106,-1.96
03803099999,-0.164,-2.85
03808099999,0.003,0.05
03809099999,0.025,0.38
03823099999,-0.003,-0.04
03827099999,0.003,0.04
03840099999,-0.043,-0.61
03853099999,-0.031,-0.54
03857099999,-0.119,-1.92
03862099999,0.039,0.58
03866099999,0.003,0.06
03872099999,0.024,0.41
03876099999,-0.042,-0.71
03882099999,0.009,0.13
03894099999,-0.116,-1.82
03904099999,0.075,1.26
03911099999,0.013,0.19
03915099999,-0.027,-0.48
03916099999,-0.069,-1.06
03917099999,0.011,0.21
03923099999,0.051,0.87
03953099999,-0.043,-0.56
03955099999,-0.192,-2.67
03962099999,-0.007,-0.11
03967099999,-0.133,-2.54
03969099999,-0.029,-0.55
03970099999,0.027,0.42
03971099999,-0.017,-0.3
03973099999,0.009,0.14
03976099999,0.004,0.06
03980099999,-0.022,-0.39
04202099999,-0.431,-8.23
04220099999,-0.041,-1.03
04231099999,-0.103,-2.81
04272099999,-0.037,-0.44
04360099999,0.217,2.74
04390099999,-0.027,-0.26
06011099999,-0.105,-1.47
06030099999,-0.019,-0.38
06041099999,-0.012,-0.22
06052099999,0.036,0.69
06058099999,0.025,0.49
06060099999,-0.023,-0.43
06070099999,-0.323,-5.42
06079099999,-0.037,-0.69
06081099999,-0.226,-7.41
06104099999,0.042,0.75
06110099999,-0.048,-0.87
06119099999,-0.057,-1.26
06120099999,-0.285,-5.5
06156099999,-0.035,-0.75
06159099999,-0.068,-1.43
06169099999,-0.007,-0.15
06170099999,-0.051,-1.05
06180099999,-0.023,-0.48
06193099999,-0.058,-1.17
06235099999,0.042,0.7
06240099999,0.009,0.15
06251099999,-0.004,-0.06
06260099999,-0.028,-0.44
06269099999,-0.033,-0.56
06270099999,-0.015,-0.24
06273099999,-0.039,-0.67
06275099999,-0.019,-0.32
06277099999,-0.033,-0.59
06279099999,-0.033,-0.57
06280099999,-0.038,-0.65
06283099999,-0.063,-1.11
06286099999,-0.056,-1.0
06290099999,-0.035,-0.59
06310099999,-0.017,-0.3
06319099999,-0.069,-1.16
06330099999,0.012,0.19
06344099999,-0.042,-0.62
06348099999,-0.075,-1.27
06350099999,-0.069,-1.14
06356099999,-0.078,-1.35
06370099999,-0.023,-0.4
06375099999,-0.053,-0.93
06380099999,-0.005,-0.09
06391099999,-0.044,-0.76
06400099999,0.124,2.01
06407099999,-0.09,-1.53
06428099999,-0.132,-2.3
06431099999,-0.043,-0.69
06432099999,-0.081,-1.31
06447099999,-0.025,-0.41
06449099999,-0.007,-0.1
06450099999,-0.037,-0.6
06451099999,0.031,0.53
06456099999,-0.199,-3.11
06458099999,-0.251,-4.53
06476099999,-0.105,-1.55
06478099999,0.01,0.17
06479099999,-0.269,-4.63
06490099999,-0.169,-2.46
06496099999,-0.235,-2.98
06590099999,-0.06,-0.91
06604099999,0.048,0.62
06605099999,-0.089,-1.08
06610099999,0.075,1.0
06612099999,0.074,0.8
06616099999,-0.035,-0.47
06628099999,0.009,0.1
06639099999,-0.094,-0.9
06643099999,-0.014,-0.16
06660099999,-0.072,-0.88
06670099999,-0.026,-0.33
06672099999,0.067,0.77
06680099999,0.264,1.68
06681099999,0.159,1.69
06689099999,-0.032,-0.52
06700099999,-0.088,-1.06
06702099999,0.148,1.19
06712099999,0.013,0.16
06720099999,0.251,3.51
06724099999,0.041,0.51
06734099999,-0.052,-0.6
06750099999,0.015,0.15
06753099999,-0.102,-0.84
06756099999,-0.151,-1.19
06759099999,-0.243,-1.72
06760099999,-0.152,-0.84
06762099999,-0.135,-0.77
06770099999,0.015,0.1
06771099999,-0.064,-0.42
06780099999,0.1,1.16
06782099999,0.561,5.9
06783099999,-0.045,-0.33
06786099999,0.194,2.38
06791099999,0.158,2.08
06792099999,0.114,1.55
06794099999,0.064,0.63
06990099999,0.127,1.65
07002099999,0.015,0.25
07003099999,-0.052,-1.05
07005099999,0.012,0.19
07010099999,-0.016,-0.28
07015099999,-0.026,-0.44
07020099999,-0.012,-0.21
07024099999,-0.056,-0.89
07027099999,-0.028,-0.48
07028099999,-0.058,-0.97
07031099999,0.023,0.38
07037099999,-0.038,-0.6
07038034061,0.009,0.17
07040099999,-0.053,-0.91
07055099999,0.007,0.12
07057099999,0.014,0.23
07061099999,-0.003,-0.06
07075099999,-0.051,-0.73
07100099999,-0.011,-0.19
07106099999,-0.018,-0.27
07107099999,-0.01,-0.17
07109099999,-0.027,-0.4
07110099999,-0.006,-0.08
07120099999,0.014,0.24
07125099999,-0.008,-0.15
07130099999,-0.002,-0.03
07139099999,-0.064,-1.04
07140099999,0.008,0.14
07143099999,0.019,0.34
07146099999,0.01,0.24
07147099999,0.056,0.96
07149099999,0.037,0.65
07150099999,0.077,1.52
07153099999,0.024,0.45
07156099999,0.037,0.69
07157099999,0.072,1.18
07168099999,0.02,0.36
07169099999,-0.042,-0.65
07180099999,0.003,0.05
07181099999,-0.039,-0.64
07190099999,-0.017,-0.29
07197099999,-0.065,-1.09
07201099999,-0.025,-0.36
07203099999,0.013,0.24
07205099999,-0.027,-0.38
07207099999,-0.007,-0.13
07217099999,0.012,0.2
07222099999,-0.026,-0.38
07230099999,-0.018,-0.28
07235099999,-0.025,-0.41
07240099999,-0.014,-0.21
07247099999,-0.047,-0.79
07249099999,-0.011,-0.19
07255099999,-0.018,-0.29
07257099999,-0.025,-0.39
07260099999,-0.036,-0.57
07280099999,-0.051,-0.76
07283099999,0.068,1.06
07288099999,0.006,0.07
07292099999,-0.023,-0.3
07299099999,-0.04,-0.58
07300099999,0.001,0.01
07306099999,0.02,0.28
07314099999,0.015,0.25
07315099999,-0.06,-0.92
07330099999,-0.018,-0.26
07335099999,-0.035,-0.56
07354034048,-0.011,-0.18
07374099999,-0.038,-0.64
07379099999,-0.036,-0.54
07385099999,-0.06,-0.83
07412099999,0.002,0.03
07434099999,0.027,0.36
07438099999,-0.005,-0.07
07460099999,-0.043,-0.64
07471099999,-0.0,-0.01
07475099999,-0.071,-1.16
07480099999,-0.013,-0.19
07481099999,0.047,0.57
07482099999,0.03,0.33
07486099999,-0.042,-0.49
07491099999,0.009,0.09
07497099999,0.064,0.73
07500099999,0.002,0.04
07502099999,0.064,0.86
07503099999,0.006,0.09
07510099999,0.032,0.42
07524099999,0.104,1.59
07530099999,0.062,0.91
07535099999,-0.013,-0.18
07549099999,-0.034,-0.38
07552099999,0.001,0.01
07558099999,-0.125,-1.72
07560099999,0.04,0.3
07577099999,-0.078,-0.69
07579099999,-0.107,-1.03
07586099999,-0.142,-1.66
07588099999,0.027,0.3
07591099999,0.162,1.97
07600099999,0.106,1.02
07602099999,0.052,0.52
07603099999,0.113,1.31
07607099999,0.101,1.32
07610099999,0.019,0.23
07621099999,0.046,0.54
07622099999,0.028,0.42
07627099999,0.022,0.28
07630099999,0.021,0.31
07632099999,-0.006,-0.08
07635099999,0.007,0.1
07641099999,-0.133,-1.51
07643099999,-0.216,-2.1
07645099999,-0.163,-1.5
07646099999,-0.172,-1.98
07647099999,-0.122,-0.61
07648099999,-0.043,-0.41
07650099999,-0.119,-1.22
07660099999,-0.039,-0.44
07661099999,-0.184,-1.77
07667099999,-0.245,-2.05
07675099999,-0.167,-1.42
07678099999,-0.208,-1.86
07684099999,0.094,0.98
07690099999,0.022,0.17
07747099999,0.057,0.56
07749099999,0.094,0.99
07753099999,-0.018,-0.25
07754099999,-0.068,-0.64
07761099999,-0.077,-0.79
07765099999,-0.059,-0.54
07770099999,-0.058,-0.65
07780099999,-0.101,-1.4
07785099999,-0.052,-0.63
07790099999,-0.107,-0.93
08001099999,0.03,0.38
08011099999,0.084,1.0
08015099999,0.09,1.14
08021099999,0.18,2.1
08023099999,0.138,1.64
08025099999,0.094,1.05
08027099999,0.113,1.07
08029099999,0.141,1.21
08042099999,-0.044,-0.37
08044099999,0.113,0.97
08045099999,0.111,0.83
08055099999,-0.005,-0.07
08075099999,-0.067,-1.07
08080099999,0.024,0.34
08084099999,-0.001,-0.02
08085099999,0.047,0.66
08140099999,-0.096,-1.59
08141099999,-0.044,-0.72
08160099999,0.062,0.97
08171099999,0.013,0.17
08175099999,-0.07,-0.7
08181099999,0.173,1.49
08184099999,0.037,0.35
08202099999,0.061,1.1
08213099999,-0.002,-0.03
08215099999,0.131,1.21
08221099999,0.066,0.92
08223099999,0.021,0.3
08224099999,0.024,0.36
08231099999,0.089,1.34
08238099999,0.092,0.94
08261099999,-0.002,-0.03
08272099999,-0.099,-1.55
08280099999,0.126,1.78
08284099999,0.057,0.56
08306099999,-0.081,-0.96
08314099999,0.069,0.8
08330099999,0.044,0.55
08348099999,-0.139,-2.13
08360099999,0.463,5.95
08373099999,0.137,1.48
08391099999,-0.045,-0.43
08397099999,-0.172,-1.83
08410099999,-0.208,-2.16
08419099999,-0.026,-0.38
08429099999,0.279,3.16
08430099999,0.199,2.31
08433099999,0.425,4.66
08451099999,-0.072,-0.73
08482099999,-0.164,-1.37
08487099999,0.046,0.56
08495099999,-0.417,-3.22
08501099999,0.007,0.07
08505099999,0.13,1.77
08509099999,-0.103,-1.17
08512099999,-0.07,-0.93
08515099999,-0.009,-0.12
08521099999,-0.086,-0.97
08522099999,-0.092,-0.97
08524099999,-0.028,-0.47
08534099999,-0.078,-0.97
08540099999,-0.051,-0.65
08541099999,-0.008,-0.11
08545099999,0.147,1.4
08548099999,0.01,0.11
08554099999,-0.297,-3.11
08558099999,0.009,0.12
08560099999,0.038,0.33
08562099999,-0.105,-1.32
08567099999,-0.069,-0.72
08568099999,0.165,1.36
08570099999,-0.09,-0.93
08571099999,0.009,0.09
08575099999,-0.012,-0.15
08579099999,-0.104,-1.13
08594099999,2.111,10.32
10607099999,0.115,1.97
10614099999,-0.155,-2.68
11001099999,0.008,0.12
11008099999,0.019,0.26
11010099999,0.168,2.48
11012099999,0.005,0.06
11018099999,-0.031,-0.45
11019099999,0.039,0.62
11020099999,-0.064,-1.04
11021099999,0.013,0.21
11022099999,0.003,0.05
11024099999,-0.076,-1.14
11030099999,-0.007,-0.1
11032099999,0.042,0.68
11034099999,-0.044,-0.63
11035099999,-0.059,-0.9
11036099999,-0.0,-0.0
11051099999,-0.04,-0.54
11055099999,0.022,0.32
11060099999,-0.032,-0.47
11075099999,-0.052,-0.85
11078099999,-0.119,-1.44
11082099999,-0.129,-1.86
11101099999,-0.03,-0.28
11105099999,0.058,0.66
11112099999,-0.034,-0.5
11120099999,0.106,1.36
11126099999,0.049,0.73
11130099999,0.041,0.46
11136099999,0.027,0.31
11138099999,-0.232,-1.85
11141099999,-0.049,-0.65
11144099999,0.027,0.33
11146099999,-0.176,-2.12
11149099999,0.055,0.74
11150099999,0.14,1.62
11152099999,-0.017,-0.21
11155099999,-0.205,-1.91
11157099999,-0.032,-0.43
11165099999,-0.027,-0.34
11170099999,-0.142,-1.38
11180099999,-0.197,-2.51
11182099999,-0.021,-0.31
11185099999,0.037,0.43
11190099999,-0.142,-2.06
11192099999,-0.002,-0.03
11204099999,0.059,0.63
11213099999,-0.067,-0.61
11231099999,0.143,1.42
11240099999,0.111,1.2
11241099999,-0.085,-0.95
11252099999,-0.034,-0.44
11255099999,-0.12,-0.98
11270099999,-0.012,-0.1
11275099999,0.014,0.14
11280099999,0.018,0.22
11292099999,-0.058,-0.67
11302099999,0.071,0.68
11308099999,-0.013,-0.12
11310099999,-0.036,-0.52
11340099999,-0.105,-1.2
11346099999,0.063,0.82
11348099999,0.149,2.17
11350099999,0.066,0.7
11351099999,0.001,0.02
11355099999,0.036,0.39
11356099999,-0.011,-0.12
11357099999,0.051,0.55
11358099999,0.023,0.28
11380099999,-0.016,-0.21
11382099999,0.002,0.03
11384099999,-0.029,-0.38
11385099999,-0.135,-1.74
11406099999,0.037,0.68
11414099999,0.242,4.4
11423099999,0.18,3.0
11438099999,-0.022,-0.42
11457099999,0.394,5.21
11464099999,0.319,5.62
11487099999,0.291,4.95
11502099999,-0.09,-1.72
11509099999,-0.09,-1.69
11518099999,0.275,4.9
11520099999,0.126,2.17
11538099999,-0.04,-0.68
11567099999,0.145,2.62
11603099999,0.138,2.14
11624099999,0.151,2.6
11628099999,0.245,3.98
11636099999,-0.037,-0.68
11643099999,-0.061,-0.74
11652099999,0.025,0.47
11659099999,-0.027,-0.47
11679099999,-0.021,-0.34
11683099999,0.458,6.62
11692099999,0.458,6.86
11693099999,-0.055,-1.0
11698099999,-0.105,-1.82
11710099999,0.431,6.68
11723099999,0.356,5.62
11766099999,-0.055,-0.91
11774099999,0.228,3.63
11782099999,0.004,0.06
11787099999,0.064,0.72
11816099999,-0.043,-0.67
11826099999,0.121,1.87
11841099999,0.059,0.93
11855099999,0.061,0.95
11858099999,0.065,0.99
11867099999,0.106,1.57
11880099999,0.015,0.22
11916099999,0.177,2.52
11918099999,-0.021,-0.31
11927099999,0.105,1.44
11930099999,0.066,0.74
11933099999,0.314,4.32
11934099999,0.372,5.56
11938099999,-0.035,-0.47
11968099999,0.323,4.44
11976099999,0.128,1.95
11978099999,0.013,0.21
11993099999,0.18,2.55
12100099999,-0.025,-0.44
12105099999,-0.06,-1.03
12115099999,-0.074,-1.3
12120099999,-0.061,-1.1
12125099999,0.046,0.8
12135099999,-0.02,-0.4
12160099999,0.042,0.75
12185099999,0.231,4.2
12195099999,-0.008,-0.15
12200099999,-0.055,-1.09
12205099999,-0.014,-0.28
12210099999,-0.036,-0.67
12215099999,0.023,0.47
12235099999,-0.022,-0.43
12250099999,0.028,0.53
12270099999,0.07,1.36
12272099999,0.153,2.74
12280099999,0.027,0.51
12285099999,0.188,3.4
12295099999,0.116,2.06
12300099999,0.015,0.29
12310099999,-0.042,-0.82
12330099999,-0.012,-0.24
12345099999,-0.207,-3.69
12360099999,0.03,0.58
12375099999,0.082,1.48
12385099999,0.03,0.56
12399099999,0.046,0.91
12400099999,0.004,0.08
12415099999,0.011,0.22
12424099999,0.019,0.35
12435099999,0.048,0.99
12455099999,0.091,1.7
12469099999,0.057,1.03
12488099999,0.069,1.23
12495099999,0.097,1.78
12497099999,0.017,0.32
12500099999,0.139,2.4
12510099999,-0.026,-0.43
12520099999,0.015,0.26
12530099999,0.085,1.55
12540099999,0.013,0.23
12550099999,0.143,2.56
12560099999,0.025,0.42
12566099999,0.027,0.46
12570099999,0.152,2.72
12575099999,-0.044,-0.7
12580099999,-0.038,-0.68
12585099999,0.193,3.36
12595099999,0.127,2.36
12600099999,0.109,1.5
12625099999,-0.061,-0.78
12650099999,0.022,0.24
12660099999,0.106,1.63
12670099999,0.023,0.36
12690099999,0.009,0.14
12695099999,0.123,2.2
12772099999,0.042,0.57
12805099999,-0.127,-1.87
12812099999,0.016,0.23
12815099999,-0.014,-0.23
12822099999,-0.013,-0.19
12830099999,0.011,0.15
12843099999,0.092,1.32
12851099999,0.0,0.0
12860099999,0.014,0.23
12870099999,0.059,0.89
12882099999,-0.021,-0.35
12892099999,-0.022,-0.35
12910099999,-0.021,-0.26
12915099999,-0.002,-0.03
12925099999,0.028,0.35
12935099999,0.05,0.7
12942099999,0.058,0.79
12950099999,-0.016,-0.24
12960099999,0.018,0.27
12970099999,0.062,0.97
12982099999,-0.009,-0.15
12992099999,-0.007,-0.11
13067099999,-0.02,-0.29
13116099999,0.139,1.54
13160099999,0.002,0.02
13168099999,0.063,0.87
13173099999,0.065,0.98
13174099999,-0.038,-0.59
13180099999,0.035,0.49
13183099999,-0.029,-0.4
13262099999,0.054,0.67
13266099999,0.101,1.54
13269099999,0.082,1.07
13272099999,0.097,1.31
13274099999,-0.015,-0.22
13279099999,0.094,1.37
13285099999,0.049,0.7
13289099999,0.083,1.18
13295099999,0.024,0.31
13363099999,-0.226,-3.23
13367099999,0.009,0.11
13369099999,0.067,0.99
13370099999,0.194,2.9
13376099999,0.043,0.59
13378099999,0.132,1.79
13383099999,0.161,2.33
13384099999,-0.028,-0.41
13388099999,0.059,0.9
13389099999,0.075,1.13
13397099999,0.186,2.68
13457099999,-0.182,-1.27
13459099999,-0.488,-3.25
13462099999,0.126,0.83
13489099999,0.061,0.91
13493099999,0.003,0.04
13578099999,0.062,0.79
13583099999,0.104,1.38
13586099999,0.068,0.95
13591099999,0.06,0.87
13592099999,0.041,0.52
14008099999,0.251,1.77
14014099999,0.253,2.02
14015099999,0.074,0.59
14026099999,-0.023,-0.23
14105099999,0.153,1.34
14106099999,-0.028,-0.21
14235099999,0.106,0.97
14236099999,0.087,0.98
14240099999,0.096,1.07
14241099999,0.082,0.87
14246099999,0.162,1.79
14256099999,0.266,3.05
14258099999,0.045,0.51
14307099999,0.025,0.23
14314099999,0.065,0.57
14323099999,0.156,1.14
14324099999,0.205,1.37
14328099999,0.107,0.86
14330099999,0.313,2.48
14370099999,0.068,0.87
14382099999,0.041,0.55
14431099999,0.283,2.59
14438099999,0.042,0.41
14443099999,-0.036,-0.57
14444099999,-0.092,-0.78
14445099999,0.036,0.37
14447099999,-0.015,-0.15
14472099999,0.024,0.19
14474099999,-0.113,-0.8
15015099999,0.023,0.37
15020099999,0.15,2.12
15090099999,-0.047,-0.68
15108099999,-0.022,-0.37
15120099999,-0.056,-0.87
15150099999,0.459,5.74
15170099999,0.19,2.89
15200099999,-0.057,-0.91
15230099999,-0.003,-0.05
15260099999,0.041,0.62
15280099999,0.177,2.88
15292099999,-0.044,-0.63
15310099999,-0.052,-0.72
15335099999,-0.047,-0.66
15346099999,0.006,0.08
15350099999,-0.023,-0.32
15360099999,0.003,0.05
15410099999,-0.025,-0.32
15420099999,0.17,2.15
15450099999,-0.042,-0.56
15460099999,0.115,1.62
15470099999,-0.027,-0.4
15480099999,-0.033,-0.43
15502099999,0.025,0.32
15525099999,-0.15,-1.74
15549099999,-0.032,-0.4
15552099999,-0.44,-4.3
15600099999,-0.043,-0.6
15614099999,-0.012,-0.17
15615099999,-0.208,-3.08
15640099999,-0.062,-0.71
15655099999,-0.312,-3.53
15712099999,-0.118,-1.48
15730099999,-0.608,-5.72
16008099999,-0.041,-0.54
16020099999,-0.197,-2.15
16021099999,-0.025,-0.2
16022099999,-1.171,-7.09
16033099999,-0.817,-8.39
16036099999,-0.143,-0.73
16040099999,-0.081,-0.59
16059099999,-0.215,-1.88
16061099999,-0.201,-1.83
16066099999,-1.976,-10.18
16076099999,0.178,1.46
16080099999,-0.023,-0.21
16084099999,-0.19,-1.73
16088099999,-0.148,-1.28
16090099999,-0.105,-1.03
16098099999,-0.091,-0.83
16099099999,0.044,0.38
16105099999,0.079,0.72
16108099999,0.08,0.68
16110099999,-0.069,-0.67
16115099999,-1.354,-28.69
16119099999,0.011,0.13
16120099999,0.349,2.35
16138099999,-0.022,-0.31
16140099999,-0.292,-3.25
16146099999,-0.055,-0.6
16147099999,-0.379,-4.54
16148099999,-0.059,-0.6
16149099999,-0.061,-0.63
16153099999,0.009,0.08
16158099999,0.089,0.78
16168099999,-0.269,-3.99
16170099999,-0.07,-0.69
16179099999,-0.015,-0.15
16191099999,-0.089,-1.11
16206099999,-0.107,-1.12
16216099999,0.094,1.32
16230099999,-0.163,-1.58
16234099999,-0.128,-1.99
16235099999,-0.761,-17.09
16239099999,-0.099,-0.82
16242099999,0.036,0.34
16243099999,0.108,1.55
16244099999,-0.046,-0.58
16245099999,1.402,21.04
16252099999,0.073,0.86
16253099999,0.183,1.74
16261099999,0.022,0.29
16263099999,0.077,1.36
16270099999,-0.023,-0.28
16280099999,-0.165,-1.77
16310099999,-0.962,-12.45
16312099999,-0.227,-3.88
16320099999,-0.314,-3.29
16324099999,-4.663,-84.8
16325099999,0.006,0.07
16332099999,-0.332,-3.85
16344099999,-0.131,-1.73
16350099999,-7.17,-51.86
16360099999,-0.018,-0.19
16362099999,0.141,1.4
16400099999,-0.178,-2.17
16405099999,-4.024,-24.71
16420099999,-0.068,-0.62
16422099999,-0.381,-6.41
16429099999,-0.084,-0.95
16453099999,-0.096,-1.01
16459099999,-0.037,-0.64
16460099999,0.226,2.06
16470099999,-0.639,-5.78
16480099999,-0.181,-1.65
16490099999,-0.25,-3.93
16520099999,0.045,0.48
16522099999,-0.078,-1.01
16531099999,-0.092,-1.45
16539099999,0.033,0.42
16546099999,-0.007,-0.06
16550099999,-0.149,-1.67
16560099999,0.175,2.36
16564099999,0.044,0.67
16597099999,-0.131,-1.41
16614099999,0.201,2.46
16622099999,0.084,1.1
16624099999,0.743,19.58
16627099999,0.234,2.44
16632099999,0.761,27.78
16641099999,0.09,0.65
16643099999,0.124,0.96
16648099999,0.052,0.69
16650099999,-0.003,-0.03
16665399999,1.111,48.7
16667099999,0.099,0.86
16675099999,3.06,27.06
16682099999,0.127,1.08
16684099999,0.105,0.96
16685099999,1.158,24.67
16706099999,0.95,25.83
16710099999,0.027,0.3
16716099999,0.055,0.61
16718099999,0.804,17.7
16723099999,-0.219,-1.74
16726099999,0.593,15.8
16726399999,0.742,37.8
16732099999,1.848,18.03
16734099999,-0.38,-4.14
16738099999,-0.341,-3.84
16742099999,0.889,13.17
16743099999,-0.568,-7.2
16746099999,0.204,1.91
16749099999,0.232,1.73
16754099999,0.15,1.67
17022099999,0.07,0.65
17024099999,0.021,0.21
17026099999,-0.008,-0.11
17030099999,0.677,9.72
17038099999,0.041,0.5
17050099999,0.023,0.26
17056099999,-0.116,-1.33
17060099999,-0.055,-0.68
17067099999,-0.045,-0.55
17070099999,-0.044,-0.74
17082099999,0.172,3.43
17084099999,0.01,0.16
17090099999,0.013,0.23
17092099999,0.028,0.47
17096099999,0.153,2.64
17112099999,-0.004,-0.04
17115099999,-0.123,-1.48
17116099999,-0.118,-1.35
17124099999,0.121,2.17
17128099999,-0.014,-0.24
17129099999,0.318,6.89
17150099999,-0.01,-0.11
17170099999,0.043,0.72
17184099999,-0.028,-0.29
17188099999,-0.19,-2.52
17190099999,0.054,0.9
17195099999,-0.005,-0.09
17200099999,0.41,8.73
17202099999,0.049,0.8
17218099999,0.824,19.76
17219099999,-0.012,-0.1
17234099999,-0.096,-0.91
17240099999,0.033,0.44
17244099999,0.122,1.85
17260099999,0.032,0.42
17280099999,0.001,0.02
17290099999,-0.088,-0.74
17292099999,0.003,0.02
17295099999,-0.248,-1.03
17300099999,-0.215,-1.16
17330099999,0.029,0.24
17350033308,0.142,1.21
17352099999,1.061,33.55
17370099999,-0.026,-0.24
17600099999,-0.084,-1.02
17601099999,-0.156,-1.79
17609099999,-0.102,-1.15
20069099999,0.042,1.12
