stationid,absolute_increase_per_year, relative_increase_per_year_in_% (absolute_increase / middle_value)
02408099999,0.054,1.0
02453099999,0.086,1.63
02456099999,-0.029,-0.53
02458099999,-0.017,-0.3
02476099999,0.013,0.25
02488099999,0.036,0.79
02496099999,0.048,0.99
02500099999,-0.03,-0.48
02505099999,0.065,1.32
02513099999,0.081,1.22
02518099999,-0.207,-5.98
02520099999,-0.059,-1.08
02536099999,0.068,1.12
02556099999,0.008,0.15
02562099999,0.004,0.08
02567099999,0.011,0.25
02575099999,0.028,0.6
02590099999,0.002,0.05
02605099999,0.021,0.39
02611099999,0.017,0.33
02616099999,0.005,0.1
02622099999,0.004,0.07
02625099999,0.015,0.3
02628099999,-0.005,-0.11
02644099999,0.026,0.55
02664099999,0.001,0.03
02801099999,0.015,0.35
02823099999,0.004,0.09
02836099999,0.009,0.2
02845099999,0.0,0.01
02874099999,-0.044,-1.22
02910099999,-0.137,-3.35
02913099999,0.0,0.01
02915099999,-0.005,-0.1
02919099999,-0.171,-4.82
02935099999,-0.009,-0.16
02942099999,0.128,1.86
02963099999,0.0,0.01
02965099999,-0.001,-0.03
02974099999,0.006,0.11
02976099999,-0.07,-1.63
02981099999,0.0,0.01
02982099999,-0.135,-3.59
03002099999,0.043,0.87
03005099999,0.022,0.38
03008099999,0.005,0.1
03010099999,-0.021,-6.25
03017099999,0.012,0.22
03023099999,0.029,0.5
03026099999,0.006,0.1
03031099999,0.067,0.83
03034099999,0.008,0.13
03044099999,0.078,1.31
03047099999,0.157,1.99
03062099999,0.036,0.83
03063099999,0.066,1.07
03065099999,-0.071,-11.33
03066099999,0.01,0.21
03068099999,0.019,0.42
03075099999,0.003,0.06
03080099999,0.047,0.85
03088099999,0.034,0.67
03091099999,0.023,0.41
03100099999,0.007,0.12
03111099999,0.01,0.16
03132099999,0.017,0.28
03136099999,0.049,0.84
03144099999,0.068,1.07
03148099999,-0.021,-21.15
03153099999,0.027,0.38
03155099999,0.079,1.43
03158099999,0.065,1.29
03162099999,0.036,0.4
03171099999,0.021,0.37
03204099999,0.016,0.26
03210099999,0.053,0.81
03212099999,-0.04,-0.45
03214099999,0.052,0.85
03220099999,0.064,1.13
03224099999,0.092,1.25
03225099999,0.071,0.69
03226099999,0.037,0.67
03230099999,0.231,5.35
03240099999,0.029,0.54
03257099999,0.013,0.25
03265099999,0.012,0.22
03266099999,0.025,0.48
03275099999,0.02,0.38
03302099999,0.015,0.26
03305099999,0.09,0.72
03313099999,0.009,0.17
03316099999,0.014,0.26
03318099999,0.02,0.38
03321099999,0.022,0.44
03344099999,-0.025,-0.36
03354099999,0.02,0.36
03373099999,0.01,0.19
03377099999,0.009,0.17
03379099999,0.018,0.34
03385099999,-0.072,-12.08
03391099999,0.011,0.21
03392099999,0.174,4.54
03405099999,0.072,1.17
03410099999,0.064,0.73
03414099999,0.02,0.39
03462099999,-0.005,-0.1
03469099999,0.036,0.72
03482099999,0.012,0.23
03488099999,0.036,0.73
03502099999,0.018,0.3
03503099999,0.04,0.59
03507099999,0.209,3.07
03520099999,0.045,0.79
03529099999,0.015,0.3
03544099999,-0.004,-0.08
03560099999,0.014,0.27
03590099999,0.028,0.52
03604099999,-0.005,-0.07
03605099999,-0.018,-0.26
03609099999,0.013,0.2
03647099999,0.021,0.36
03649099999,0.011,0.19
03658099999,0.012,0.23
03660099999,-0.033,-0.53
03672099999,0.004,0.06
03684099999,0.019,0.35
03693099999,0.006,0.12
03707099999,0.0,0.01
03710099999,0.056,0.71
03740099999,0.008,0.14
03743099999,0.032,0.52
03746099999,0.026,0.42
03749099999,0.028,0.44
03761099999,0.037,0.61
03768099999,0.039,0.68
03772099999,0.009,0.17
03781099999,0.036,0.57
03797035047,0.034,0.62
03803099999,0.01,0.18
03808099999,0.024,0.36
03809099999,-0.02,-0.3
03823099999,0.02,0.26
03827099999,0.002,0.03
03840099999,0.01,0.14
03853099999,0.001,0.01
03857099999,-0.031,-0.5
03862099999,0.021,0.31
03866099999,0.018,0.3
03872099999,0.042,0.7
03876099999,0.048,0.8
03882099999,0.015,0.23
03894099999,0.022,0.35
03904099999,0.057,0.96
03911099999,0.021,0.31
03915099999,0.024,0.43
03916099999,0.032,0.49
03917099999,0.007,0.13
03923099999,0.028,0.48
03953099999,-0.008,-0.1
03955099999,-0.029,-0.4
03962099999,0.009,0.15
03967099999,0.012,0.24
03969099999,0.006,0.12
03970099999,-0.001,-0.02
03971099999,0.015,0.27
03973099999,0.042,0.66
03976099999,-0.004,-0.06
03980099999,-0.001,-0.02
04202099999,0.16,3.05
04208099999,-0.011,-4.87
04214099999,-0.0,-0.02
04220099999,-0.017,-0.42
04228099999,-0.025,-8.11
04231099999,0.014,0.38
04242099999,-0.001,-1.44
04253099999,-0.0,-0.02
04266099999,0.001,0.88
04272099999,-0.011,-0.13
04285099999,-0.017,-5.77
04301099999,0.0,0.42
04312099999,-0.001,-1.6
04320099999,0.058,1.41
04330099999,-0.008,-4.32
04351099999,-0.003,-2.18
04360099999,0.074,0.94
04373099999,-0.002,-3.22
04382099999,-0.002,-1.74
04390099999,0.434,4.18
06011099999,-0.012,-0.17
06030099999,0.01,0.19
06041099999,0.014,0.26
06052099999,0.028,0.54
06058099999,0.054,1.05
06060099999,0.022,0.41
06070099999,0.064,1.07
06079099999,-0.024,-0.46
06081099999,-0.177,-5.81
06104099999,0.045,0.82
06110099999,0.03,0.54
06119099999,0.026,0.58
06120099999,0.037,0.72
06151099999,-0.216,-9.68
06156099999,0.043,0.91
06159099999,0.039,0.82
06168099999,-0.007,-7.14
06169099999,0.071,1.62
06170099999,0.037,0.75
06180099999,0.01,0.2
06193099999,0.01,0.21
06235099999,0.001,0.02
06240099999,-0.004,-0.07
06251099999,-0.003,-0.05
06252099999,-0.01,-13.46
06260099999,0.005,0.07
06269099999,-0.009,-0.15
06270099999,-0.005,-0.08
06273099999,-0.008,-0.14
06275099999,0.003,0.05
06277099999,0.01,0.17
06279099999,-0.001,-0.01
06280099999,-0.01,-0.18
06283099999,-0.026,-0.47
06286099999,-0.005,-0.09
06290099999,-0.019,-0.33
06310099999,0.01,0.18
06319099999,-0.027,-0.45
06330099999,0.027,0.43
06344099999,-0.008,-0.12
06348099999,-0.001,-0.02
06350099999,-0.005,-0.08
06356099999,-0.003,-0.05
06370099999,-0.008,-0.14
06375099999,-0.002,-0.03
06380099999,-0.002,-0.03
06391099999,-0.002,-0.04
06400099999,0.029,0.47
06407099999,-0.014,-0.24
06428099999,0.006,0.1
06431099999,0.018,0.29
06432099999,-0.042,-0.69
06447099999,0.003,0.05
06449099999,-0.038,-0.58
06450099999,-0.021,-0.33
06451099999,-0.019,-0.32
06456099999,-0.042,-0.65
06458099999,-0.053,-0.96
06476099999,-0.016,-0.23
06478099999,-0.04,-0.66
06479099999,-0.049,-0.84
06490099999,-0.032,-0.46
06496099999,-0.088,-1.11
06590099999,-0.025,-0.39
06604099999,0.018,0.23
06605099999,0.18,2.18
06610099999,0.006,0.08
06612099999,0.012,0.13
06616099999,-0.001,-0.01
06628099999,-0.014,-0.15
06639099999,0.049,0.47
06643099999,0.017,0.2
06660099999,0.02,0.24
06669099999,-0.06,-5.7
06670099999,0.02,0.25
06672099999,0.04,0.46
06680099999,0.133,0.85
06681099999,0.066,0.7
06689099999,0.466,7.54
06700099999,-0.005,-0.06
06702099999,-0.015,-0.12
06712099999,0.016,0.2
06720099999,0.046,0.64
06724099999,-0.016,-0.2
06734099999,0.02,0.23
06750099999,0.008,0.09
06753099999,0.033,0.27
06756099999,-0.039,-0.31
06759099999,-0.0,-0.0
06760099999,0.01,0.06
06762099999,-0.05,-0.29
06770099999,0.04,0.26
06771099999,0.068,0.45
06780099999,0.192,2.24
06782099999,0.138,1.45
06783099999,0.002,0.01
06786099999,0.062,0.76
06791099999,0.095,1.25
06792099999,0.043,0.59
06794099999,0.022,0.21
06990099999,0.025,0.33
07002099999,0.024,0.39
07003099999,0.283,5.75
07005099999,0.01,0.16
07010099999,-0.009,-0.16
07015099999,-0.006,-0.11
07020099999,0.037,0.68
07024099999,0.022,0.35
07027099999,-0.003,-0.05
07028099999,-0.023,-0.39
07031099999,0.026,0.42
07037099999,-0.02,-0.31
07038034061,-0.017,-0.32
07040099999,-0.004,-0.07
07055099999,-0.001,-0.01
07057099999,-0.028,-0.48
07061099999,-0.003,-0.05
07075099999,0.014,0.2
07100099999,0.001,0.02
07106099999,0.076,1.16
07107099999,0.02,0.34
07109099999,0.022,0.33
07110099999,0.017,0.23
07120099999,0.009,0.16
07125099999,0.041,0.77
07130099999,0.001,0.01
07139099999,0.002,0.04
07140099999,-0.021,-0.37
07143099999,0.002,0.04
07146099999,0.246,5.74
07147099999,-0.012,-0.2
07149099999,0.006,0.1
07150099999,0.001,0.02
07153099999,0.071,1.3
07156099999,0.05,0.95
07157099999,-0.003,-0.05
07168099999,0.006,0.11
07169099999,-0.027,-0.42
07180099999,-0.0,-0.0
07181099999,0.007,0.12
07190099999,-0.013,-0.22
07197099999,-0.009,-0.15
07201099999,0.013,0.19
07203099999,0.033,0.6
07205099999,-0.007,-0.1
07207099999,-0.007,-0.12
07217099999,0.033,0.59
07222099999,-0.003,-0.04
07230099999,0.01,0.16
07235099999,-0.002,-0.04
07240099999,-0.049,-0.75
07247099999,-0.003,-0.06
07249099999,-0.015,-0.26
07255099999,0.016,0.25
07257099999,-0.003,-0.04
07260099999,0.017,0.27
07280099999,-0.017,-0.25
07283099999,0.027,0.42
07288099999,0.006,0.07
07292099999,-0.049,-0.65
07299099999,-0.046,-0.68
07300099999,0.011,0.19
07306099999,-0.0,-0.0
07314099999,0.004,0.08
07315099999,-0.002,-0.03
07330099999,-0.011,-0.15
07335099999,0.005,0.09
07354034048,-0.005,-0.08
07374099999,0.029,0.49
07379099999,0.018,0.27
07385099999,0.001,0.01
07412099999,-0.009,-0.14
07434099999,-0.025,-0.32
07438099999,0.095,1.52
07460099999,-0.031,-0.46
07471099999,0.022,0.3
07475099999,0.034,0.56
07480099999,0.003,0.04
07481099999,-0.005,-0.06
07482099999,0.027,0.29
07486099999,-0.028,-0.33
07491099999,-0.001,-0.01
07497099999,0.001,0.01
07500099999,0.004,0.07
07502099999,-0.003,-0.03
07503099999,0.022,0.34
07510099999,-0.037,-0.49
07524099999,0.004,0.07
07530099999,-0.01,-0.15
07535099999,-0.012,-0.17
07549099999,-0.045,-0.5
07552099999,0.207,3.38
07558099999,-0.013,-0.19
07560099999,0.059,0.44
07577099999,0.019,0.17
07579099999,0.025,0.24
07586099999,0.068,0.8
07588099999,0.033,0.36
07591099999,0.018,0.22
07600099999,0.02,0.2
07602099999,0.015,0.15
07603099999,0.029,0.34
07607099999,0.005,0.06
07610099999,0.01,0.11
07621099999,0.011,0.13
07622099999,-0.014,-0.21
07627099999,0.014,0.19
07630099999,-0.026,-0.39
07632099999,-0.011,-0.16
07635099999,0.016,0.23
07641099999,-0.037,-0.42
07643099999,0.048,0.47
07645099999,-0.021,-0.19
07646099999,0.049,0.57
07647099999,-0.418,-2.08
07648099999,-0.001,-0.01
07650099999,-0.011,-0.11
07660099999,0.031,0.34
07661099999,0.0,0.0
07667099999,-0.038,-0.32
07675099999,0.028,0.24
07678099999,0.024,0.21
07684099999,0.226,2.36
07690099999,-0.016,-0.13
07747099999,0.024,0.24
07749099999,0.062,0.66
07753099999,0.0,0.0
07754099999,-0.191,-1.8
07761099999,-0.032,-0.33
07765099999,0.03,0.28
07770099999,0.004,0.05
07780099999,0.039,0.55
07785099999,-0.049,-0.6
07790099999,-0.06,-0.53
08001099999,0.03,0.38
08011099999,0.005,0.06
08015099999,0.044,0.56
08021099999,0.067,0.78
08023099999,0.008,0.1
08025099999,0.015,0.16
08027099999,0.034,0.32
08029099999,0.035,0.3
08042099999,-0.05,-0.42
08044099999,-0.005,-0.04
08045099999,-0.07,-0.53
08055099999,-0.048,-0.73
08075099999,0.002,0.03
08080099999,-0.003,-0.04
08084099999,0.001,0.02
08085099999,0.045,0.63
08130099999,0.035,0.6
08140099999,0.008,0.13
08141099999,0.008,0.13
08148099999,0.04,0.63
08160099999,0.014,0.22
08171099999,-0.008,-0.11
08175099999,-0.043,-0.44
08181099999,-0.069,-0.59
08184099999,-0.079,-0.75
08202099999,-0.001,-0.01
08213099999,0.014,0.25
08215099999,0.054,0.5
08221099999,-0.024,-0.33
08223099999,0.004,0.07
08224099999,0.007,0.1
08227099999,-0.108,-9.62
08231099999,0.026,0.39
08235099999,0.04,0.61
08238099999,0.034,0.34
08261099999,-0.015,-0.18
08272099999,-0.01,-0.16
08280099999,0.03,0.42
08284099999,-0.039,-0.38
08306099999,-0.046,-0.54
08314099999,0.03,0.35
08330099999,-0.041,-0.52
08348099999,0.028,0.43
08360099999,0.026,0.33
08373099999,-0.008,-0.09
08391099999,-0.076,-0.71
08397099999,-0.001,-0.01
08410099999,0.004,0.04
08419099999,0.026,0.39
08429099999,0.024,0.27
08430099999,0.03,0.35
08433099999,0.091,0.99
08449013025,-0.534,-5.98
08451099999,-0.051,-0.52
08482099999,-0.025,-0.21
08487099999,-0.038,-0.46
08495099999,-0.032,-0.25
08501099999,0.01,0.1
08505099999,-0.027,-0.37
08509099999,-0.067,-0.76
08512099999,0.022,0.29
08515099999,-0.032,-0.43
08521099999,-0.059,-0.68
08522099999,0.049,0.51
08524099999,0.011,0.18
08534099999,-0.128,-1.6
08540099999,-0.042,-0.53
08541099999,-0.039,-0.53
08545099999,-0.0,-0.0
08548099999,0.006,0.06
08554099999,-0.036,-0.38
08558099999,-0.019,-0.24
08560099999,-0.002,-0.02
08562099999,0.002,0.03
08567099999,-0.082,-0.84
08568099999,0.169,1.4
08570099999,-0.062,-0.63
08571099999,0.009,0.09
08575099999,0.008,0.1
08579099999,-0.028,-0.3
08594099999,0.246,1.2
10607099999,0.025,0.44
10614099999,0.015,0.25
11001099999,0.049,0.72
11008099999,0.046,0.64
11010099999,0.05,0.74
11012099999,0.024,0.32
11018099999,0.019,0.28
11019099999,0.055,0.88
11020099999,0.012,0.2
11021099999,0.053,0.84
11022099999,0.023,0.41
11024099999,0.022,0.33
11030099999,0.072,1.07
11032099999,0.052,0.85
11034099999,0.082,1.18
11035099999,0.052,0.79
11036099999,0.056,0.84
11051099999,0.036,0.48
11055099999,0.029,0.42
11060099999,0.018,0.27
11075099999,0.053,0.87
11078099999,0.018,0.22
11082099999,0.015,0.22
11101099999,0.057,0.52
11105099999,0.035,0.4
11112099999,0.009,0.13
11120099999,0.029,0.38
11126099999,0.011,0.16
11130099999,0.042,0.47
11136099999,0.082,0.96
11138099999,-0.041,-0.33
11141099999,0.032,0.42
11144099999,0.069,0.86
11146099999,0.002,0.03
11149099999,0.021,0.28
11150099999,0.043,0.5
11152099999,0.018,0.22
11155099999,-0.007,-0.06
11157099999,0.015,0.2
11165099999,0.014,0.18
11170099999,0.009,0.09
11180099999,-0.044,-0.56
11182099999,0.012,0.17
11185099999,0.099,1.14
11190099999,0.032,0.47
11192099999,0.036,0.46
11204099999,0.041,0.44
11212099999,0.003,0.03
11213099999,0.048,0.43
11214099999,0.036,0.42
11231099999,0.065,0.65
11240099999,0.033,0.36
11241099999,-0.01,-0.11
11252099999,0.028,0.36
11255099999,0.113,0.93
11270099999,0.054,0.44
11275099999,0.075,0.78
11280099999,0.069,0.85
11292099999,0.043,0.5
11302099999,0.093,0.89
11308099999,0.051,0.46
11310099999,0.029,0.43
11340099999,0.026,0.3
11346099999,0.058,0.75
11348099999,0.122,1.78
11350099999,0.038,0.4
11351099999,0.029,0.37
11355099999,0.026,0.28
11356099999,0.008,0.09
11357099999,0.068,0.73
11358099999,0.045,0.57
11380099999,0.055,0.7
11382099999,0.071,0.9
11384099999,0.032,0.41
11385099999,0.016,0.2
11406099999,0.035,0.64
11414099999,0.098,1.79
11423099999,0.092,1.53
11438099999,0.043,0.84
11457099999,0.095,1.26
11464099999,0.08,1.41
11487099999,0.114,1.94
11502099999,0.038,0.72
11509099999,0.049,0.93
11518099999,0.049,0.88
11520099999,0.047,0.81
11538099999,0.039,0.66
11567099999,0.109,1.98
11603099999,0.06,0.93
11624099999,0.097,1.68
11628099999,0.1,1.63
11636099999,0.004,0.07
11643099999,0.016,0.19
11652099999,0.038,0.7
11659099999,0.001,0.02
11679099999,0.029,0.47
11683099999,0.167,2.41
11692099999,0.257,3.85
11693099999,0.021,0.37
11698099999,0.038,0.66
11710099999,0.162,2.51
11723099999,0.057,0.9
11766099999,0.016,0.27
11774099999,0.056,0.89
11782099999,0.012,0.19
11787099999,0.048,0.54
11816099999,0.016,0.24
11826099999,0.031,0.48
11841099999,0.017,0.26
11855099999,0.031,0.48
11858099999,0.033,0.5
11867099999,0.051,0.76
11880099999,0.046,0.66
11903099999,-0.011,-0.15
11916099999,0.068,0.96
11918099999,0.059,0.86
11927099999,0.036,0.5
11930099999,0.133,1.48
11933099999,0.099,1.36
11934099999,0.072,1.08
11938099999,0.042,0.57
11968099999,0.025,0.34
11976099999,0.067,1.02
11978099999,0.016,0.27
11993099999,0.04,0.57
12100099999,0.018,0.32
12105099999,0.008,0.14
12115099999,-0.02,-0.36
12120099999,-0.001,-0.01
12125099999,0.033,0.58
12135099999,0.026,0.52
12160099999,0.026,0.46
12185099999,0.053,0.97
12195099999,0.02,0.38
12200099999,0.026,0.52
12205099999,0.029,0.57
12210099999,0.022,0.41
12215099999,0.014,0.28
12235099999,0.043,0.85
12250099999,0.022,0.41
12270099999,0.03,0.58
12272099999,0.063,1.13
12280099999,0.052,0.98
12285099999,0.045,0.82
12295099999,0.031,0.55
12300099999,0.035,0.71
12310099999,0.044,0.86
12330099999,0.001,0.01
12345099999,0.052,0.92
12360099999,0.032,0.63
12375099999,0.015,0.26
12385099999,0.038,0.71
12399099999,0.043,0.85
12400099999,0.035,0.68
12415099999,0.055,1.06
12424099999,0.003,0.06
12435099999,0.02,0.42
12455099999,0.029,0.54
12469099999,0.034,0.61
12488099999,0.042,0.75
12495099999,0.025,0.46
12497099999,0.048,0.9
12500099999,0.069,1.19
12510099999,0.023,0.37
12520099999,0.029,0.5
12530099999,0.038,0.7
12540099999,0.047,0.82
12550099999,0.071,1.27
12560099999,0.042,0.7
12566099999,0.038,0.66
12570099999,0.046,0.82
12575099999,0.005,0.08
12580099999,0.021,0.38
12585099999,0.064,1.11
12595099999,0.036,0.67
12600099999,0.049,0.67
12625099999,0.04,0.51
12650099999,0.036,0.38
12660099999,0.046,0.71
12670099999,0.012,0.19
12690099999,0.034,0.52
12695099999,0.017,0.3
12772099999,0.004,0.06
12805099999,-0.026,-0.38
12812099999,-0.019,-0.27
12815099999,0.048,0.77
12822099999,-0.003,-0.04
12830099999,-0.039,-0.53
12843099999,0.018,0.25
12851099999,0.006,0.08
12860099999,0.006,0.1
12870099999,-0.008,-0.13
12882099999,-0.014,-0.23
12892099999,-0.017,-0.27
12910099999,-0.023,-0.28
12915099999,-0.015,-0.2
12925099999,-0.016,-0.2
12935099999,-0.021,-0.3
12942099999,-0.005,-0.07
12950099999,-0.008,-0.13
12960099999,-0.015,-0.23
12970099999,-0.0,-0.0
12982099999,0.004,0.06
12992099999,-0.009,-0.15
13067099999,0.015,0.22
13116099999,-0.019,-0.21
13160099999,0.034,0.48
13168099999,0.052,0.72
13173099999,0.034,0.51
13174099999,0.012,0.19
13180099999,0.025,0.34
13183099999,-0.009,-0.13
13262099999,0.02,0.26
13266099999,0.028,0.43
13269099999,0.013,0.17
13272099999,-0.037,-0.5
13274099999,0.039,0.55
13279099999,0.03,0.43
13285099999,0.044,0.63
13289099999,0.033,0.46
13295099999,0.046,0.61
13363099999,0.013,0.18
13367099999,0.053,0.69
13369099999,0.035,0.51
13370099999,0.068,1.02
13376099999,0.02,0.28
13378099999,0.095,1.28
13383099999,0.114,1.65
13384099999,0.033,0.48
13388099999,0.028,0.43
13389099999,0.067,1.01
13397099999,0.08,1.15
13457099999,0.022,0.15
13459099999,0.015,0.1
13462099999,0.03,0.2
13489099999,0.061,0.91
13493099999,0.031,0.44
13578099999,0.046,0.59
13583099999,0.002,0.03
13586099999,0.018,0.25
13591099999,0.047,0.69
13592099999,0.054,0.69
14008099999,0.096,0.68
14014099999,0.147,1.17
14015099999,0.047,0.38
14026099999,0.016,0.16
14105099999,0.034,0.3
14106099999,-0.006,-0.04
14235099999,0.086,0.79
14236099999,0.07,0.78
14240099999,0.063,0.7
14241099999,0.064,0.68
14246099999,0.149,1.64
14256099999,0.1,1.15
14258099999,0.025,0.28
14307099999,0.133,1.2
14314099999,0.044,0.38
14323099999,0.056,0.41
14324099999,0.102,0.68
14328099999,0.102,0.82
14330099999,0.128,1.02
14370099999,0.016,0.21
14382099999,0.001,0.02
14431099999,0.137,1.25
14438099999,0.066,0.65
14443099999,-0.018,-0.28
14444099999,-0.022,-0.18
14445099999,0.063,0.65
14447099999,0.034,0.33
14472099999,0.051,0.4
14474099999,-0.025,-0.18
15004099999,0.057,0.84
15010099999,0.034,0.52
15015099999,0.063,0.99
15020099999,0.054,0.76
15023099999,0.044,0.72
15063099999,0.005,0.08
15080099999,0.012,0.21
15085099999,0.029,0.49
15090099999,-0.021,-0.3
15108099999,0.066,1.13
15111099999,0.052,0.85
15120099999,0.003,0.05
15145099999,0.024,0.41
15150099999,0.112,1.4
15170099999,0.055,0.84
15197099999,0.038,0.59
15200099999,0.002,0.03
15209099999,0.067,1.07
15230099999,0.02,0.35
15235099999,0.096,1.52
15247099999,0.026,0.43
15260099999,0.051,0.77
15261099999,0.033,0.54
15280099999,0.091,1.48
15292099999,0.02,0.29
15296099999,0.031,0.47
15302099999,0.141,1.93
15310099999,0.016,0.23
15335099999,0.084,1.18
15338099999,-0.002,-0.02
15340099999,0.108,1.4
15346099999,0.062,0.81
15350099999,0.006,0.09
15360099999,-0.024,-0.41
15375099999,0.035,0.52
15377099999,0.056,0.84
15405099999,0.042,0.66
15409099999,0.061,0.95
15410099999,0.015,0.19
15420099999,0.046,0.59
15444099999,0.031,0.53
15450099999,0.037,0.49
15460099999,0.07,0.99
15470099999,0.043,0.64
15480099999,0.026,0.34
15481099999,-0.145,-1.02
15482099999,0.01,0.14
15490099999,0.078,1.17
15491099999,0.032,0.45
15499099999,0.044,0.67
15502099999,-0.018,-0.23
15525099999,-0.024,-0.27
15549099999,-0.007,-0.08
15552099999,0.036,0.35
15600099999,0.055,0.78
15614099999,0.032,0.44
15615099999,0.06,0.88
15640099999,-0.004,-0.05
15655099999,0.051,0.57
15712099999,0.043,0.54
15730099999,0.075,0.71
16008099999,-0.12,-1.59
16020099999,-0.041,-0.45
16021099999,-0.08,-0.64
16022099999,-0.033,-0.2
16033099999,-0.155,-1.59
16036099999,-1.209,-6.12
16040099999,-0.051,-0.37
16045099999,-0.173,-1.46
16059099999,-0.084,-0.73
16061099999,-0.027,-0.25
16066099999,0.051,0.26
16076099999,-0.064,-0.53
16080099999,-0.071,-0.66
16084099999,-0.028,-0.25
16088099999,-0.061,-0.53
16090099999,-0.101,-0.99
16098099999,-0.001,-0.01
16099099999,-0.357,-3.15
16105099999,0.092,0.85
16108099999,-0.057,-0.48
16110099999,-0.033,-0.32
16114099999,0.08,0.64
16115099999,-0.081,-1.72
16119099999,0.396,4.68
16120099999,-0.057,-0.38
16122099999,-0.449,-9.6
16124099999,-0.378,-2.99
16134099999,-0.01,-0.06
16138099999,0.088,1.26
16140099999,-0.075,-0.83
16146099999,0.001,0.01
16147099999,-0.318,-3.81
16148099999,-0.401,-4.08
16149099999,-0.072,-0.75
16153099999,-0.013,-0.11
16158099999,-0.027,-0.24
16168099999,0.315,4.68
16170099999,-0.082,-0.8
16179099999,-0.001,-0.01
16181099999,-0.335,-5.27
16191099999,-0.15,-1.86
16206099999,-0.135,-1.41
16216099999,0.277,3.87
16219099999,0.087,0.4
16221099999,-0.01,-14.29
16230099999,0.011,0.11
16234099999,0.331,5.14
16235099999,-0.148,-3.32
16239099999,-0.4,-3.33
16242099999,-0.119,-1.12
16243099999,0.2,2.87
16244099999,0.495,6.29
16245099999,0.541,8.12
16252099999,0.055,0.65
16253099999,0.085,0.81
16261099999,-0.033,-0.45
16263099999,0.236,4.16
16270099999,-0.058,-0.72
16280099999,-0.049,-0.53
16310099999,-0.23,-2.98
16312099999,0.235,4.02
16320099999,-0.076,-0.79
16324099999,0.199,3.62
16325099999,0.03,0.32
16332099999,-0.019,-0.22
16344099999,0.492,6.51
16350099999,0.01,0.07
16360099999,0.07,0.75
16362099999,-0.032,-0.32
16400099999,-0.069,-0.84
16405099999,0.342,2.1
16420099999,-0.013,-0.12
16422099999,-0.04,-0.67
16429099999,-0.131,-1.48
16453099999,0.114,1.21
16459099999,0.266,4.56
16460099999,-0.116,-1.06
16470099999,-0.158,-1.43
16480099999,0.012,0.11
16490099999,-0.38,-5.97
16520099999,-0.08,-0.85
16522099999,-0.032,-0.41
16531099999,0.123,1.93
16539099999,-0.017,-0.22
16546099999,-0.213,-1.83
16550099999,-0.025,-0.28
16560099999,-0.049,-0.66
16564099999,-0.004,-0.06
16597099999,-0.05,-0.54
16614099999,0.055,0.67
16622099999,-0.012,-0.15
16624099999,0.221,5.84
16627099999,0.043,0.45
16632099999,0.434,15.83
16641099999,0.035,0.25
16643099999,-0.017,-0.13
16648099999,-0.05,-0.66
16650099999,0.039,0.38
16665399999,0.374,16.39
16667099999,-0.002,-0.01
16675099999,0.441,3.9
16682099999,-0.043,-0.37
16684099999,-0.019,-0.17
16685099999,0.624,13.29
16687099999,-0.11,-9.24
16706099999,0.558,15.18
16710099999,0.014,0.15
16716099999,-0.008,-0.09
16718099999,-0.157,-3.45
16723099999,-0.07,-0.56
16726099999,0.438,11.67
