stationid,absolute_increase_per_year, relative_increase_per_year_in_% (absolute_increase / middle_value)
2476099999,-0.12,-0.63
2488099999,1.82,5.06
2496099999,2.94,5.26
2500099999,-2.02,-5.21
2505099999,-0.36,-1.58
2513099999,-1.51,-4.96
2518099999,-2.68,-8.62
2520099999,-3.33,-5.3
2536099999,-0.62,-1.86
2556099999,0.41,0.71
2562099999,-1.49,-2.37
2567099999,0.78,2.88
2575099999,0.93,4.05
2590099999,0.01,0.01
2605099999,0.31,0.91
2611099999,-0.31,-1.15
2616099999,-0.72,-1.77
2622099999,-0.13,-0.36
2625099999,0.87,2.62
2628099999,-0.81,-3.08
2644099999,0.57,2.56
2664099999,-0.75,-1.23
2801099999,-0.59,-1.44
2823099999,-0.97,-2.46
2836099999,-0.08,-0.2
2845099999,-0.36,-0.79
2874099999,-1.06,-4.44
2910099999,0.28,0.47
2913099999,-0.89,-2.16
2915099999,-0.92,-2.26
2919099999,-1.75,-4.14
2935099999,-1.04,-2.68
2942099999,6.78,5.27
2963099999,-1.14,-2.89
2965099999,-1.09,-2.72
2974099999,-0.68,-1.44
2976099999,-1.78,-3.97
2981099999,-0.8,-1.71
2982099999,-2.48,-6.85
3002099999,0.75,1.48
3005099999,1.21,1.53
3008099999,0.55,1.07
3017099999,0.04,0.07
3023099999,0.71,1.06
3026099999,-1.86,-2.51
3031099999,7.45,5.94
3034099999,-2.97,-3.99
3044099999,6.21,6.13
3047099999,3.65,3.17
3062099999,-0.16,-0.49
3063099999,10.51,7.38
3066099999,-0.66,-1.29
3068099999,0.33,0.86
3075099999,-0.1,-0.18
3080099999,2.1,3.82
3088099999,-0.1,-0.22
3091099999,0.81,1.22
3100099999,-0.86,-1.31
3111099999,0.58,0.83
3132099999,1.16,1.89
3136099999,-0.15,-0.3
3144099999,3.99,5.14
3153099999,-0.27,-0.45
3155099999,6.09,7.66
3158099999,1.48,3.23
3162099999,1.27,1.18
3171099999,0.04,0.06
3204099999,-1.68,-2.36
3210099999,3.17,4.55
3212099999,-5.53,-5.29
3214099999,-0.9,-1.6
3220099999,3.91,5.89
3224099999,8.75,6.98
3225099999,5.51,4.09
3226099999,0.63,1.13
3230099999,6.49,8.85
3240099999,0.87,1.76
3257099999,-0.52,-1.2
3265099999,-0.72,-2.24
3266099999,0.19,0.46
3275099999,0.79,1.63
3302099999,0.56,0.88
3305099999,5.33,3.03
3313099999,0.19,0.38
3316099999,0.02,0.04
3318099999,0.77,1.8
3321099999,0.42,1.0
3344099999,-7.28,-8.22
3354099999,0.21,0.44
3373099999,0.27,0.74
3377099999,-0.63,-1.41
3379099999,0.27,0.73
3391099999,-0.59,-1.45
3392099999,2.12,6.74
3405099999,3.57,5.62
3410099999,4.51,4.47
3414099999,0.58,1.45
3462099999,-1.91,-4.44
3469099999,-0.01,-0.03
3482099999,0.15,0.3
3488099999,0.75,2.02
3502099999,0.76,1.3
3503099999,1.56,2.46
3507099999,2.44,3.99
3520099999,1.1,2.82
3529099999,-0.18,-0.45
3544099999,-2.18,-7.34
3560099999,0.06,0.17
3590099999,1.48,2.59
3604099999,-1.41,-1.97
3605099999,-1.49,-2.28
3609099999,0.51,0.81
3647099999,-0.34,-0.87
3649099999,-0.51,-1.23
3658099999,0.68,1.48
3660099999,-1.29,-3.16
3672099999,-2.19,-4.29
3684099999,1.91,4.27
3693099999,0.67,2.04
3707099999,0.02,0.03
3710099999,1.23,1.57
3740099999,-0.63,-1.28
3743099999,2.56,4.56
3746099999,1.18,2.1
3749099999,0.82,1.88
3761099999,2.48,4.68
3768099999,1.85,3.9
3772099999,-0.7,-1.52
3781099999,0.79,1.77
3797035047,0.79,2.11
3803099999,0.74,1.66
3808099999,1.05,1.65
3809099999,-3.28,-4.29
3823099999,0.03,0.04
3827099999,-0.31,-0.57
3840099999,0.41,0.64
3853099999,-2.29,-4.05
3857099999,-4.88,-6.83
3862099999,-0.75,-1.63
3866099999,1.03,2.68
3872099999,1.12,2.34
3876099999,0.18,0.59
3882099999,-0.79,-1.62
3894099999,1.19,1.42
3904099999,2.87,4.23
3911099999,-1.15,-1.37
3915099999,-0.81,-1.41
3916099999,-0.56,-0.66
3917099999,-1.52,-2.56
3923099999,1.14,1.62
3953099999,-1.41,-1.29
3955099999,-1.4,-1.71
3962099999,-0.03,-0.04
3967099999,1.17,1.9
3969099999,-0.42,-0.83
3970099999,-0.87,-1.24
3971099999,0.76,1.34
3973099999,1.06,1.42
3976099999,-1.21,-1.79
3980099999,-1.23,-2.28
4202099999,1.83,6.42
4220099999,-1.03,-3.49
4231099999,0.47,3.1
4272099999,-2.59,-3.91
4320099999,9.11,13.11
4360099999,3.72,3.54
4390099999,17.76,8.53
6011099999,-4.32,-4.39
6030099999,-1.39,-2.93
6041099999,-1.32,-2.87
6052099999,0.9,1.63
6058099999,0.88,2.6
6060099999,-0.56,-1.36
6070099999,3.41,3.52
6079099999,-0.78,-2.07
6081099999,-1.29,-5.85
6104099999,1.23,2.57
6110099999,0.08,0.18
6119099999,0.44,1.28
6120099999,-1.27,-4.44
6151099999,-4.78,-10.15
6156099999,0.63,2.36
6159099999,-1.07,-4.22
6169099999,0.36,1.13
6170099999,-0.26,-0.92
6180099999,-0.86,-2.23
6193099999,-0.62,-1.75
6235099999,-1.6,-1.65
6240099999,-1.58,-2.48
6251099999,0.5,1.1
6260099999,-1.38,-1.94
6269099999,-1.7,-3.31
6270099999,-1.51,-1.89
6273099999,-0.08,-0.17
6275099999,-0.77,-1.54
6277099999,1.22,2.52
6279099999,0.06,0.15
6280099999,-1.88,-3.31
6283099999,-0.41,-0.91
6286099999,0.28,0.6
6290099999,-1.78,-2.77
6310099999,0.24,0.43
6319099999,-1.34,-2.55
6330099999,0.63,1.11
6344099999,-3.86,-3.22
6348099999,-0.81,-1.34
6350099999,0.14,0.26
6356099999,-0.42,-1.03
6370099999,-0.21,-0.48
6375099999,-0.61,-1.32
6380099999,-0.58,-0.82
6391099999,-0.52,-1.15
6400099999,5.94,6.18
6407099999,-1.55,-2.62
6428099999,0.48,0.82
6431099999,-0.15,-0.33
6432099999,-3.67,-5.1
6447099999,-0.52,-0.82
6449099999,-3.69,-4.61
6450099999,-2.83,-4.29
6451099999,-1.15,-1.78
6456099999,-1.77,-2.5
6458099999,-3.02,-4.27
6476099999,-0.84,-1.34
6478099999,-2.59,-4.25
6479099999,-2.21,-3.83
6490099999,-1.66,-2.61
6496099999,-4.52,-5.18
6590099999,-1.17,-2.19
6604099999,-0.48,-0.76
6605099999,1.03,2.08
6610099999,-0.92,-1.78
6612099999,-0.01,-0.02
6616099999,-1.4,-2.82
6628099999,-3.79,-6.5
6639099999,-0.35,-0.4
6643099999,-0.1,-0.14
6660099999,0.23,0.34
6670099999,-1.45,-2.15
6672099999,1.15,1.3
6680099999,4.71,2.49
6681099999,3.1,2.87
6689099999,0.76,2.7
6700099999,-0.02,-0.03
6702099999,-4.61,-4.7
6712099999,-1.01,-2.0
6720099999,3.1,4.87
6724099999,-1.69,-3.0
6734099999,0.13,0.19
6750099999,-0.12,-0.1
6753099999,-0.55,-0.51
6756099999,-0.19,-0.22
6759099999,0.66,0.63
6760099999,4.67,3.04
6762099999,-1.25,-1.09
6770099999,3.96,3.22
6771099999,3.5,3.11
6780099999,3.33,4.81
6782099999,15.34,7.23
6783099999,-0.73,-0.63
6786099999,4.09,4.02
6791099999,6.07,5.37
6792099999,0.31,0.61
6794099999,0.11,0.15
6990099999,0.06,0.07
7002099999,-1.97,-4.86
7003099999,2.1,7.15
7005099999,0.43,0.92
7010099999,-2.57,-4.39
7015099999,-1.84,-2.91
7020099999,0.25,0.66
7024099999,0.09,0.22
7027099999,-1.16,-2.15
7028099999,-5.63,-9.12
7031099999,0.46,0.94
7037099999,-4.82,-9.02
7038034061,-3.32,-7.45
7040099999,-3.59,-6.38
7055099999,-0.12,-0.3
7057099999,-4.87,-12.56
7061099999,-1.92,-4.59
7075099999,0.3,0.59
7100099999,-5.43,-6.93
7106099999,1.25,2.86
7107099999,-2.38,-5.37
7109099999,-2.5,-6.36
7110099999,-1.9,-2.74
7120099999,0.28,0.65
7125099999,0.99,2.36
7130099999,-2.05,-4.5
7139099999,-0.97,-2.21
7140099999,-2.86,-5.9
7143099999,-1.75,-4.34
7146099999,1.06,5.33
7147099999,-2.02,-3.9
7149099999,-0.88,-2.05
7150099999,-1.52,-4.18
7153099999,1.51,3.69
7156099999,1.88,4.81
7157099999,-2.82,-5.84
7168099999,-1.17,-3.02
7169099999,-2.81,-4.83
7180099999,-1.05,-2.05
7181099999,-1.61,-3.73
7190099999,-2.15,-4.54
7197099999,-2.92,-6.98
7201099999,-2.66,-4.44
7203099999,0.63,1.84
7205099999,-1.57,-2.49
7207099999,-2.75,-5.91
7217099999,-0.01,-0.02
7222099999,-0.65,-1.19
7230099999,-2.1,-3.87
7235099999,0.14,0.34
7240099999,-6.07,-9.51
7247099999,0.8,2.13
7249099999,-3.6,-6.92
7255099999,-1.26,-2.72
7257099999,-1.62,-4.12
7260099999,0.73,1.45
7280099999,-2.23,-4.28
7283099999,0.28,0.49
7288099999,-1.98,-3.2
7292099999,-4.86,-7.15
7299099999,-7.79,-9.55
7300099999,-1.23,-3.24
7306099999,-0.08,-0.15
7314099999,-1.33,-2.99
7315099999,-1.83,-3.72
7330099999,-0.05,-0.11
7335099999,-1.31,-3.35
7354034048,-1.61,-3.89
7374099999,-0.17,-0.44
7379099999,2.39,4.38
7385099999,-0.36,-0.65
7412099999,-1.26,-2.64
7434099999,-4.57,-7.12
7438099999,0.93,2.92
7460099999,-3.2,-6.8
7471099999,-0.98,-1.8
7475099999,-0.35,-0.83
7480099999,-1.81,-3.06
7481099999,-1.4,-2.08
7482099999,-0.54,-0.78
7486099999,-2.83,-3.75
7491099999,-0.69,-1.03
7497099999,-0.49,-0.87
7500099999,-0.71,-2.24
7502099999,-1.59,-2.68
7503099999,-1.68,-3.6
7510099999,-3.56,-4.97
7524099999,0.04,0.1
7530099999,-1.18,-2.53
7535099999,-1.25,-2.72
7549099999,-4.48,-5.17
7552099999,-0.06,-0.36
7558099999,-1.39,-2.79
7560099999,2.59,1.51
7577099999,-1.34,-1.89
7579099999,-1.05,-2.16
7586099999,-0.18,-0.61
7588099999,-0.93,-1.68
7591099999,-0.39,-0.8
7600099999,-3.64,-4.57
7602099999,-0.4,-0.5
7603099999,3.43,4.28
7607099999,0.19,0.28
7610099999,0.07,0.1
7621099999,-1.25,-1.66
7622099999,-0.81,-2.34
7627099999,-0.17,-0.25
7630099999,-2.24,-4.91
7632099999,-0.15,-0.42
7635099999,0.11,0.21
7641099999,-1.6,-4.75
7643099999,2.14,3.25
7645099999,-2.08,-4.5
7646099999,-2.52,-7.54
7647099999,-3.26,-8.12
7648099999,-1.33,-3.9
7650099999,-1.38,-3.04
7660099999,-0.75,-1.43
7661099999,-1.76,-3.1
7667099999,-3.66,-6.8
7675099999,2.38,4.32
7678099999,-3.37,-8.71
7684099999,0.97,2.24
7690099999,-2.63,-4.64
7747099999,0.13,0.22
7749099999,-0.71,-1.18
7753099999,-1.33,-6.27
7754099999,-3.31,-7.53
7761099999,-4.78,-6.56
7765099999,-1.67,-2.42
7770099999,-3.31,-4.61
7780099999,0.01,0.02
7785099999,-2.3,-6.58
7790099999,-3.15,-4.18
8001099999,1.21,1.42
8011099999,-1.46,-1.43
8015099999,0.43,0.59
8021099999,0.23,0.29
8023099999,-0.71,-0.9
8025099999,-3.84,-3.74
8027099999,-0.44,-0.39
8029099999,0.67,0.53
8042099999,-3.88,-3.67
8044099999,-0.29,-0.33
8045099999,-3.16,-2.44
8055099999,-2.74,-7.05
8075099999,-0.67,-1.87
8080099999,-0.78,-1.55
8084099999,-1.35,-3.67
8085099999,1.34,2.04
8130099999,-0.54,-2.59
8140099999,-0.87,-3.62
8141099999,-1.63,-5.11
8148099999,-0.23,-0.6
8160099999,-0.63,-1.76
8171099999,-1.68,-6.56
8175099999,-0.68,-1.39
8181099999,-2.48,-4.04
8184099999,-3.32,-5.04
8202099999,-0.36,-1.45
8213099999,-0.01,-0.02
8215099999,1.44,1.75
8221099999,-3.19,-7.96
8223099999,-0.71,-2.7
8224099999,-1.19,-3.99
8231099999,0.72,3.56
8235099999,0.66,1.87
8238099999,0.92,1.92
8261099999,-1.45,-3.81
8272099999,-0.11,-0.42
8280099999,0.78,1.51
8284099999,-1.24,-2.47
8306099999,-1.75,-3.54
8314099999,0.66,1.24
8330099999,-3.04,-5.46
8348099999,0.53,1.91
8360099999,-0.44,-0.93
8373099999,-0.56,-0.89
8391099999,-2.98,-5.64
8397099999,-0.21,-0.7
8410099999,-1.11,-3.43
8419099999,0.58,2.57
8429099999,-0.61,-1.8
8430099999,0.41,1.09
8433099999,1.53,4.29
8449013025,-3.53,-9.31
8451099999,-0.83,-2.49
8482099999,-2.09,-5.83
8487099999,-1.58,-8.04
8495099999,-2.22,-3.43
8501099999,-1.38,-1.18
8505099999,-2.1,-2.63
8509099999,-9.38,-4.83
8512099999,1.0,1.32
8515099999,-5.91,-5.95
8521099999,-2.66,-3.71
8522099999,0.58,2.05
8524099999,-1.13,-2.72
8534099999,-4.94,-14.56
8540099999,-5.53,-13.32
8541099999,-0.92,-3.25
8545099999,-1.28,-1.63
8548099999,1.45,3.16
8554099999,-2.29,-5.65
8558099999,-0.15,-0.42
8560099999,-2.02,-2.91
8562099999,0.18,0.55
8567099999,-1.85,-4.08
8568099999,6.03,5.26
8570099999,-0.43,-1.01
8571099999,0.64,1.35
8575099999,0.09,0.2
8579099999,-1.27,-2.56
8594099999,1.62,8.23
10607099999,1.5,3.46
10614099999,1.36,3.61
11001099999,3.09,5.47
11008099999,0.69,1.32
11010099999,3.28,3.98
11012099999,0.16,0.2
11018099999,1.64,2.79
11019099999,-0.45,-1.1
11020099999,-0.81,-1.74
11021099999,0.74,1.53
11022099999,0.09,0.29
11024099999,-0.3,-0.74
11030099999,1.25,2.62
11032099999,0.05,0.13
11034099999,0.78,1.83
11035099999,0.75,1.41
11036099999,1.57,2.58
11051099999,1.43,2.5
11055099999,1.92,3.15
11060099999,0.42,0.85
11075099999,0.15,0.5
11078099999,-0.17,-0.22
11082099999,-2.38,-4.85
11101099999,2.01,1.68
11105099999,0.21,0.27
11112099999,-1.52,-3.44
11120099999,-0.62,-0.71
11126099999,0.06,0.06
11130099999,1.77,1.77
11136099999,5.43,5.58
11138099999,-0.92,-0.8
11141099999,1.54,2.69
11144099999,3.07,4.0
11146099999,-0.25,-0.31
11149099999,-0.03,-0.06
11150099999,1.64,1.49
11152099999,2.44,2.59
11155099999,0.86,0.75
11157099999,0.23,0.33
11165099999,-0.81,-1.71
11170099999,-2.28,-2.19
11180099999,-2.31,-3.21
11182099999,-1.41,-2.3
11185099999,2.64,3.46
11190099999,0.55,1.11
11192099999,0.95,2.17
11204099999,1.3,1.78
11212099999,0.07,0.09
11213099999,-0.95,-1.86
11214099999,-0.07,-0.12
11231099999,2.92,3.09
11240099999,0.87,1.13
11241099999,-1.12,-1.99
11252099999,1.18,2.62
11255099999,2.89,3.17
11270099999,2.56,2.25
11275099999,2.28,3.55
11280099999,2.7,4.61
11292099999,0.53,1.13
11302099999,4.71,4.46
11308099999,1.36,1.21
11310099999,-1.09,-2.83
11340099999,1.07,1.7
11346099999,4.05,4.92
11348099999,4.13,7.58
11350099999,4.5,4.03
11351099999,-1.29,-1.6
11355099999,-0.87,-0.8
11356099999,-2.59,-2.77
11357099999,3.74,3.52
11358099999,0.68,0.86
11380099999,1.93,2.45
11382099999,0.33,0.47
11384099999,0.55,0.92
11385099999,-1.72,-3.41
11406099999,2.19,3.07
11414099999,8.63,9.31
11423099999,9.41,9.29
11438099999,0.94,2.44
11457099999,13.25,7.54
11464099999,7.6,6.58
11487099999,10.49,8.96
11502099999,1.44,3.46
11509099999,0.87,2.48
11518099999,2.83,3.74
11520099999,3.45,4.18
11538099999,0.58,1.18
11567099999,7.44,12.02
11603099999,6.1,5.25
11624099999,4.15,7.77
11628099999,8.07,8.59
11636099999,-0.78,-1.77
11643099999,1.26,1.34
11652099999,0.38,0.84
11659099999,-1.56,-2.92
11679099999,1.15,2.03
11683099999,17.07,10.07
11692099999,20.69,14.23
11693099999,0.19,0.55
11698099999,0.27,0.85
11710099999,13.68,10.97
11723099999,4.12,4.63
11766099999,-0.67,-1.58
11774099999,2.98,4.35
11782099999,-1.06,-2.08
11787099999,1.39,1.19
11816099999,-0.54,-1.01
11826099999,2.22,3.14
11841099999,-0.68,-1.54
11855099999,0.24,0.52
11858099999,0.86,1.94
11867099999,1.88,2.88
11880099999,0.65,1.1
11903099999,-1.18,-2.03
11916099999,3.75,3.4
11918099999,3.87,5.02
11927099999,1.66,2.81
11930099999,5.49,4.3
11933099999,9.72,8.71
11934099999,5.77,6.18
11938099999,-0.47,-0.83
11968099999,2.71,2.75
11976099999,4.13,4.94
11978099999,-0.59,-1.75
11993099999,1.47,2.02
12100099999,0.35,0.69
12105099999,-2.28,-4.07
12115099999,-0.85,-1.57
12120099999,-1.39,-2.47
12125099999,0.85,1.48
12135099999,0.46,0.9
12160099999,2.24,2.99
12185099999,3.95,5.55
12195099999,0.84,1.46
12200099999,1.23,2.66
12205099999,0.51,0.87
12210099999,0.31,0.64
12215099999,-0.27,-0.71
12235099999,0.69,1.91
12250099999,-0.82,-1.52
12270099999,0.3,0.61
12272099999,5.06,6.59
12280099999,0.87,2.28
12285099999,2.43,4.41
12295099999,1.05,1.49
12300099999,0.56,1.17
12310099999,2.03,4.39
12330099999,-1.27,-2.76
12345099999,2.71,5.41
12360099999,1.27,3.22
12375099999,-0.5,-0.74
12385099999,0.44,1.08
12399099999,2.2,4.55
12400099999,0.49,0.91
12415099999,0.47,1.09
12424099999,-1.51,-2.81
12435099999,0.51,1.31
12455099999,1.39,3.16
12469099999,0.63,1.2
12488099999,1.08,2.02
12495099999,0.99,1.93
12497099999,2.1,4.06
12500099999,1.42,2.4
12510099999,-0.63,-0.92
12520099999,-0.55,-1.13
12530099999,1.65,3.33
12540099999,0.87,1.76
12550099999,3.17,5.13
12560099999,0.93,1.71
12566099999,-0.78,-1.89
12570099999,1.67,3.41
12575099999,0.35,0.66
12580099999,-0.15,-0.35
12585099999,2.85,4.07
12595099999,0.29,0.72
12600099999,1.1,1.47
12625099999,1.54,1.99
12650099999,-0.43,-0.33
12660099999,1.84,3.09
12670099999,0.25,0.41
12690099999,1.48,2.7
12695099999,-0.85,-1.99
12772099999,-2.15,-4.28
12805099999,-1.86,-3.22
12812099999,-2.04,-3.09
12815099999,2.8,6.46
12822099999,-1.59,-2.84
12830099999,-6.0,-8.61
12843099999,-0.86,-1.39
12851099999,-0.34,-0.5
12860099999,-0.85,-2.0
12870099999,0.87,1.88
12882099999,-1.4,-3.34
12892099999,-1.79,-3.53
12910099999,-1.68,-2.96
12915099999,-1.05,-2.2
12925099999,-2.56,-4.63
12935099999,-1.36,-2.47
12942099999,-1.34,-2.2
12950099999,-1.38,-4.42
12960099999,-1.82,-3.52
12970099999,-1.79,-4.38
12982099999,-0.93,-2.16
12992099999,-0.96,-2.17
13067099999,-0.47,-1.01
13116099999,-1.52,-4.02
13160099999,1.36,2.84
13168099999,2.14,3.58
13173099999,1.39,2.64
13174099999,0.51,1.35
13180099999,-0.99,-1.62
13183099999,-1.58,-2.74
13262099999,0.9,1.44
13266099999,2.47,5.08
13269099999,1.18,1.93
13272099999,-2.93,-4.17
13274099999,0.47,0.94
13279099999,1.76,3.34
13285099999,1.6,2.63
13289099999,2.32,2.62
13295099999,0.19,0.4
13363099999,-0.67,-1.44
13367099999,0.62,1.0
13369099999,1.38,2.61
13370099999,3.95,6.14
13376099999,0.72,1.18
13378099999,3.8,4.99
13383099999,6.97,10.24
13384099999,1.05,2.12
13388099999,-0.16,-0.37
13389099999,1.98,4.79
13397099999,3.45,6.03
13457099999,-0.51,-0.55
13459099999,-1.04,-0.97
13462099999,-3.05,-3.04
13489099999,2.84,4.78
13493099999,-0.51,-1.07
13578099999,0.26,0.73
13583099999,-1.27,-2.42
13586099999,0.34,0.6
13591099999,-0.5,-1.59
13592099999,1.38,2.68
14008099999,0.87,0.57
14014099999,7.81,6.92
14015099999,-0.59,-0.58
14026099999,0.02,0.04
14105099999,0.33,0.45
14106099999,-1.42,-1.49
14235099999,2.5,3.14
14236099999,3.48,5.24
14240099999,4.95,6.34
14241099999,2.34,3.08
14246099999,3.01,4.36
14256099999,8.32,8.88
14258099999,0.52,0.88
14307099999,2.47,3.37
14314099999,4.34,5.12
14323099999,0.54,0.47
14324099999,9.78,6.06
14328099999,5.78,4.69
14330099999,7.45,6.1
14370099999,1.58,2.99
14382099999,1.29,2.63
14431099999,2.65,3.64
14438099999,0.86,1.3
14443099999,-0.42,-3.08
14444099999,-3.45,-6.55
14445099999,-0.04,-0.07
14447099999,1.74,2.27
14472099999,1.81,1.87
14474099999,-0.61,-0.62
15004099999,1.71,1.55
15010099999,-1.01,-1.28
15015099999,0.58,0.9
15020099999,-0.38,-0.58
15023099999,-1.28,-4.48
15063099999,-1.56,-2.58
15080099999,-0.62,-1.28
15085099999,0.85,1.37
15090099999,-3.96,-6.34
15108099999,0.1,0.15
15111099999,0.56,1.21
15120099999,-3.31,-4.52
15145099999,-1.2,-2.46
15150099999,4.71,3.24
15170099999,1.22,1.45
15197099999,-0.44,-0.76
15200099999,-1.19,-2.48
15209099999,-0.15,-0.25
15230099999,-0.22,-0.41
15235099999,7.32,5.68
15247099999,-0.93,-2.01
15260099999,-0.97,-1.44
15261099999,-2.12,-2.78
15280099999,2.09,2.17
15292099999,-1.44,-2.17
15296099999,-2.13,-2.97
15302099999,9.31,5.66
15310099999,-0.09,-0.17
15335099999,1.1,2.58
15338099999,-2.82,-3.67
15340099999,6.88,5.96
15346099999,-0.27,-0.49
15350099999,-2.67,-5.06
15360099999,-1.44,-4.01
15375099999,-1.22,-2.42
15377099999,0.45,0.74
15405099999,-0.57,-1.34
15409099999,0.85,1.84
15410099999,-2.75,-4.67
15420099999,-2.93,-4.46
15444099999,-0.57,-2.57
15450099999,-2.17,-3.88
15460099999,0.94,1.55
15470099999,-0.77,-1.94
15480099999,-1.96,-3.79
15482099999,-2.23,-4.7
15490099999,-1.71,-4.37
15491099999,-2.33,-4.95
15499099999,-1.1,-2.64
15502099999,-6.55,-11.86
15525099999,-3.83,-4.23
15549099999,-2.61,-4.56
15552099999,3.81,2.64
15600099999,-0.66,-0.91
15614099999,-0.87,-1.45
15615099999,0.68,0.76
15640099999,-3.58,-4.82
15655099999,3.89,3.69
15712099999,0.33,0.45
15730099999,3.45,2.8
16008099999,-3.79,-6.51
16020099999,-4.37,-7.67
16021099999,-5.32,-6.02
16022099999,0.73,1.04
16033099999,-3.42,-6.43
16036099999,-0.04,-0.08
16040099999,-4.83,-5.99
16045099999,-6.96,-8.28
16059099999,-2.93,-5.17
16061099999,-2.55,-3.89
16066099999,-0.94,-0.7
16076099999,-7.12,-9.41
16080099999,-4.8,-6.0
16084099999,-3.48,-7.2
16088099999,-3.85,-5.44
16090099999,-6.1,-9.21
16098099999,-2.45,-4.5
16099099999,-0.45,-1.45
16105099999,0.02,0.02
16108099999,-4.49,-5.82
16110099999,-2.6,-4.41
16114099999,-0.52,-1.34
16115099999,-1.9,-8.81
16119099999,2.0,6.77
16120099999,-4.07,-3.92
16122099999,-2.15,-13.19
16124099999,-3.93,-4.9
16134099999,-4.39,-5.58
16138099999,0.35,1.58
16140099999,-5.43,-9.92
16146099999,-2.45,-4.8
16147099999,1.52,3.28
16148099999,1.01,3.28
16149099999,-8.02,-6.68
16153099999,-0.08,-0.15
16158099999,-4.83,-5.31
16168099999,0.48,1.86
16170099999,-5.94,-8.81
16179099999,-3.01,-4.07
16181099999,-1.94,-3.68
16191099999,-4.97,-6.06
16206099999,-4.4,-6.41
16216099999,1.59,5.07
16219099999,-2.55,-4.34
16230099999,-0.2,-0.25
16234099999,2.64,7.99
16235099999,-0.03,-0.22
16239099999,-1.44,-3.53
16242099999,-6.62,-7.3
16243099999,-0.0,-0.01
16244099999,4.15,7.51
16245099999,1.89,6.67
16252099999,-2.06,-3.32
16253099999,-4.19,-10.39
16261099999,-3.15,-5.79
16263099999,0.4,1.91
16270099999,-3.8,-8.87
16280099999,-2.78,-6.57
16310099999,-4.59,-8.67
16312099999,1.02,4.14
16320099999,-4.0,-4.39
16325099999,-0.68,-1.19
16332099999,-0.8,-2.95
16344099999,2.39,7.62
16350099999,-1.77,-4.35
16360099999,0.99,1.95
16362099999,-2.65,-2.54
16400099999,-4.07,-6.17
16405099999,3.47,2.92
16420099999,-6.26,-7.88
16422099999,-2.37,-7.73
16429099999,-7.18,-7.82
16453099999,0.13,0.36
16459099999,1.3,6.73
16460099999,-3.43,-5.29
16470099999,-8.43,-8.61
16480099999,-2.0,-3.65
16490099999,-3.39,-13.12
16520099999,-4.65,-7.64
16522099999,-3.25,-9.34
16531099999,1.58,4.74
16539099999,-2.42,-5.57
16546099999,-1.91,-5.82
16550099999,-3.09,-8.5
16560099999,-3.37,-4.68
16564099999,-2.03,-9.39
16597099999,-2.06,-4.06
16614099999,1.17,1.94
16622099999,-1.82,-4.74
16627099999,1.32,2.41
16641099999,-4.56,-5.84
16643099999,-1.98,-2.47
16648099999,-3.12,-6.93
16650099999,-0.59,-1.44
16667099999,-0.96,-2.47
16675099999,2.15,2.74
16682099999,-5.17,-6.58
16684099999,0.52,0.84
16710099999,-0.05,-0.09
16716099999,-0.43,-1.28
